t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
120.0,2.833,-1.519,-5.019,-0.019,1.575,2,14,0,0.234,0,0,0.538,-42.353,-32.004,-4.750,0.250,3.098,2,14,0,0.286,161,0,9.022,49.143,24.574,-3.979,1.021,1.824,2,14,0,0.237,148,0,2.159,53.165,58.170,0,309,0.286,-0.085,-1.297,0.195,1.487
121.0,2.764,0.026,-5.017,-0.017,1.576,2,14,0,0.186,0,0,0.421,-41.651,-29.000,-4.721,0.279,3.099,2,14,0,0.260,161,0,8.769,47.863,26.021,-4.094,0.906,2.030,2,14,0,0.351,148,0,0.795,52.062,56.962,0,309,0.351,-0.002,0.199,-0.030,1.500
122.0,2.550,1.546,-5.075,-0.075,1.533,2,14,0,0.189,0,0,0.370,-41.371,-25.959,-4.700,0.300,3.098,2,14,0,0.287,161,0,8.614,46.580,27.487,-4.132,0.868,1.932,2,14,0,0.228,148,0,0.379,51.113,55.962,0,309,0.287,-0.144,1.691,-0.254,1.478
123.0,2.037,2.917,-5.004,-0.004,1.525,2,14,0,0.184,0,0,0.203,-41.436,-22.868,-4.701,0.299,3.081,2,14,0,0.256,161,0,8.626,45.399,28.887,-4.132,0.868,1.835,2,14,0,0.296,148,0,1.193,50.546,55.232,0,309,0.296,-0.507,3.145,-0.472,1.424
124.0,1.370,4.258,-5.016,-0.016,1.533,2,14,0,0.202,0,0,0.114,-42.004,-19.940,-4.757,0.243,2.962,2,14,0,0.266,161,0,8.659,44.437,30.324,-4.092,0.908,1.696,2,14,0,0.270,148,0,1.583,49.668,54.929,0,309,0.270,-1.084,4.528,-0.679,1.337
125.0,0.665,5.579,-4.992,0.008,1.531,2,14,0,0.188,0,0,0.186,-43.014,-17.272,-4.718,0.282,2.890,2,14,0,0.342,161,0,8.682,43.731,31.706,-4.101,0.899,1.501,2,14,0,0.278,148,0,1.540,49.296,55.042,0,309,0.342,-1.861,5.809,-0.871,1.221
126.0,-0.178,6.846,-4.982,0.018,1.541,2,14,0,0.188,0,0,0.342,-44.481,-14.824,-4.699,0.301,2.917,2,14,0,0.297,161,0,8.646,43.356,32.951,-4.095,0.905,1.254,2,14,0,0.194,148,0,0.991,49.319,55.591,0,309,0.297,-2.820,6.961,-1.044,1.077
127.0,-1.248,7.911,-5.009,-0.009,1.593,2,14,0,0.190,0,0,0.426,-46.496,-12.683,-4.747,0.253,3.044,2,14,0,0.553,161,0,8.429,43.046,34.063,-4.028,0.972,1.072,2,14,0,0.217,148,0,0.459,49.716,56.348,0,309,0.553,-3.941,7.955,-1.193,0.909
128.0,-2.580,8.832,-5.001,-0.001,1.643,2,14,0,0.184,0,0,0.474,-48.924,-10.952,-4.800,0.200,3.089,2,14,0,0.304,161,0,8.098,42.647,34.959,-4.081,0.919,0.984,2,14,0,0.609,148,0,0.887,50.390,57.127,0,309,0.609,-5.198,8.771,-1.316,0.720
129.0,-4.138,9.475,-4.992,0.008,1.664,2,14,0,0.180,0,0,0.451,-51.559,-9.621,-4.720,0.280,3.092,2,14,0,0.284,161,0,7.807,41.854,35.620,-4.093,0.907,1.070,2,14,0,0.444,148,0,1.418,51.121,57.643,0,309,0.444,-6.562,9.391,-1.409,0.516
130.0,-5.647,9.848,-4.988,0.012,1.613,2,14,0,0.184,0,0,0.418,-54.479,-8.719,-4.660,0.340,3.101,2,14,0,0.545,161,0,7.503,40.848,35.945,-4.057,0.943,1.298,2,14,0,0.266,148,0,1.800,52.243,57.979,0,309,0.545,-8.004,9.799,-1.470,0.299
131.0,-7.189,10.065,-5.026,-0.026,1.587,2,14,0,0.186,0,0,0.455,-57.547,-8.234,-4.728,0.272,3.113,2,14,0,0.303,161,0,7.292,39.331,36.035,-4.031,0.969,1.678,2,14,0,0.314,148,0,1.766,53.287,57.904,0,309,0.314,-9.491,9.987,-1.498,0.076
132.0,-8.706,10.030,-5.002,-0.002,1.583,2,14,0,0.187,0,0,0.459,-60.587,-8.216,-4.689,0.311,3.023,2,14,0,0.288,161,0,7.195,37.499,35.988,-4.029,0.971,2.089,2,14,0,0.249,148,0,1.447,53.006,57.608,0,309,0.288,-10.989,9.951,-1.493,-0.148
133.0,-10.231,9.719,-5.017,-0.017,1.589,2,14,0,0.189,0,0,0.430,-63.526,-8.726,-4.645,0.355,2.924,2,14,0,0.282,161,0,7.110,35.262,35.707,-4.105,0.895,2.433,2,14,0,0.197,148,0,0.718,52.401,56.939,0,309,0.282,-12.465,9.691,-1.454,-0.370
134.0,-11.771,9.129,-4.971,0.029,1.612,2,14,0,0.188,0,0,0.408,-66.197,-9.666,-4.728,0.272,2.863,2,14,0,0.295,161,0,7.053,32.815,35.252,-4.062,0.938,2.401,2,14,0,0.214,148,0,0.528,51.683,56.065,0,309,0.295,-13.886,9.214,-1.382,-0.583
135.0,-13.202,8.400,-5.005,-0.005,1.562,2,14,0,0.187,0,0,0.461,-68.682,-11.094,-4.735,0.265,2.890,2,14,0,0.230,161,0,6.955,30.693,34.594,-4.050,0.950,2.248,2,14,0,0.265,148,0,1.249,51.125,56.515,0,309,0.265,-15.219,8.530,-1.279,-0.783
136.0,-14.401,7.528,-4.968,0.032,1.530,2,14,0,0.192,0,0,0.445,-70.887,-13.011,-4.759,0.241,3.006,2,14,0,0.264,161,0,6.804,28.743,33.639,-4.042,0.958,2.126,2,14,0,0.268,148,0,1.935,50.439,57.837,0,309,0.268,-16.435,7.654,-1.148,-0.965
137.0,-15.466,6.464,-5.021,-0.021,1.536,2,14,0,0.193,0,0,0.432,-72.708,-15.401,-4.765,0.235,3.087,2,14,0,0.344,161,0,6.588,27.101,32.482,-4.114,0.886,1.987,2,14,0,0.292,148,0,2.502,49.897,59.070,0,309,0.344,-17.507,6.607,-0.991,-1.126
138.0,-16.393,5.223,-5.025,-0.025,1.571,2,14,0,0.188,0,0,0.428,-74.106,-18.075,-4.800,0.200,3.088,2,14,0,0.402,161,0,6.446,25.668,31.232,-4.092,0.908,1.842,2,14,0,0.279,148,0,3.021,49.462,60.147,0,309,0.402,-18.410,5.411,-0.812,-1.261
139.0,-17.204,3.862,-5.005,-0.005,1.590,2,14,0,0.187,0,0,0.508,-75.036,-21.000,-4.725,0.275,3.040,2,14,0,0.266,161,0,6.387,24.635,29.839,-4.125,0.875,1.716,2,14,0,0.245,148,0,3.347,49.255,61.053,0,309,0.266,-19.124,4.093,-0.614,-1.369
140.0,-17.727,2.395,-4.949,0.051,1.592,2,14,0,0.187,0,0,0.508,-75.532,-23.819,-4.690,0.310,2.832,2,14,0,0.337,161,0,6.468,23.966,28.364,-4.100,0.900,1.610,2,14,0,0.339,148,0,3.504,49.126,61.694,0,309,0.339,-19.633,2.684,-0.403,-1.445
141.0,-18.041,0.845,-4.982,0.018,1.600,2,14,0,0.195,0,0,0.524,-75.642,-26.492,-4.693,0.307,2.627,2,14,0,0.296,161,0,6.615,23.657,26.785,-4.034,0.966,1.573,2,14,0,0.270,148,0,3.525,49.117,62.111,0,309,0.296,-19.926,1.214,-0.182,-1.489
142.0,-18.117,-0.706,-5.000,-0.000,1.610,2,14,0,0.199,0,0,0.534,-75.321,-28.997,-4.717,0.283,2.475,2,14,0,0.381,161,0,6.696,23.710,25.243,-3.999,1.001,1.594,2,14,0,0.286,148,0,3.409,49.233,62.270,0,309,0.381,-19.996,-0.283,0.042,-1.499
143.0,-17.835,-2.306,-5.021,-0.021,1.617,2,14,0,0.219,0,0,0.441,-74.623,-31.213,-4.715,0.285,2.377,2,14,0,0.264,161,0,6.653,24.223,23.712,-4.080,0.920,1.685,2,14,0,0.304,148,0,3.059,49.465,62.172,0,309,0.304,-19.841,-1.774,0.266,-1.476
144.0,-17.334,-3.769,-5.044,-0.044,1.597,2,14,0,0.187,0,0,0.336,-73.310,-33.244,-4.701,0.299,2.419,2,14,0,0.265,161,0,6.356,25.144,22.218,-4.060,0.940,1.884,2,14,0,0.273,148,0,2.525,49.807,61.675,0,309,0.273,-19.466,-3.224,0.484,-1.420
145.0,-16.630,-5.237,-4.967,0.033,1.589,2,14,0,0.193,0,0,0.325,-71.516,-34.902,-4.753,0.247,2.555,2,14,0,0.262,161,0,5.847,26.530,20.807,-4.065,0.935,2.148,2,14,0,0.327,148,0,1.741,50.417,60.806,0,309,0.327,-18.878,-4.603,0.690,-1.332
