t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
18.0,-5.523,-0.427,-4.996,0.004,3.736,2,14,0,0.238,0,0,25.068,-7.282,-0.067,-4.855,0.145,3.690,2,14,0,0.230,0,0,24.695,1.801,25.526,0,0,0.238,20.000,0.000,0.000,0.000
19.0,-9.033,-0.360,-4.971,0.029,3.404,2,14,0,0.243,0,0,28.578,-10.843,-0.098,-4.935,0.065,3.383,2,14,0,0.229,0,0,28.263,1.829,29.035,0,0,0.243,20.000,0.000,0.000,0.000
20.0,-12.169,-0.199,-5.008,-0.008,3.047,2,14,0,0.260,0,0,31.714,-14.021,-0.055,-4.952,0.048,3.035,2,14,0,0.232,0,0,31.423,1.858,32.170,0,0,0.260,20.000,0.000,0.000,0.000
21.0,-15.051,-0.100,-5.026,-0.026,2.686,2,14,0,0.251,0,0,34.596,-16.848,-0.003,-4.904,0.096,2.668,2,14,0,0.244,0,0,34.277,1.804,35.051,0,0,0.251,20.000,0.000,0.000,0.000
22.0,-17.538,-0.150,-4.997,0.003,2.292,2,14,0,0.249,0,0,37.083,-19.313,0.067,-4.928,0.072,2.269,2,14,0,0.238,0,0,36.750,1.790,37.538,0,0,0.249,20.000,0.000,0.000,0.000
23.0,-19.657,-0.259,-4.966,0.034,1.884,2,14,0,0.238,0,0,39.186,-21.446,0.071,-4.890,0.110,1.860,2,14,0,0.244,0,0,38.890,1.821,39.657,0,0,0.244,20.000,0.000,0.000,0.000
24.0,-21.353,-0.334,-4.974,0.026,1.450,2,14,0,0.247,0,0,40.898,-23.038,0.061,-4.847,0.153,1.406,2,14,0,0.250,0,0,40.491,1.735,41.355,0,0,0.250,20.000,0.000,0.000,0.000
25.0,-22.498,-0.346,-4.975,0.025,0.978,2,14,0,0.274,0,0,42.043,-24.177,-0.015,-4.902,0.098,0.947,2,14,0,0.259,0,0,41.635,1.713,42.499,0,0,0.274,20.000,0.000,0.000,0.000
26.0,-23.329,-0.317,-5.067,-0.067,0.532,2,14,0,0.268,0,0,42.869,-24.877,-0.061,-4.901,0.099,0.465,2,14,0,0.271,0,0,42.339,1.578,43.330,0,0,0.271,20.000,0.000,0.000,0.000
27.0,-23.651,-0.265,-4.979,0.021,0.086,2,14,0,0.238,0,0,43.195,-25.108,-0.077,-4.923,0.077,0.031,2,14,0,0.322,0,0,42.582,1.470,43.651,1,0,0.322,20.000,0.000,0.000,0.000
