t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
17.0,0.374,-0.158,-5.000,0.000,0.037,2,14,0,0.152,0,0,0.112,0.0345,0,-0.238,3.107,-5.269,-0.269,0.074,2,14,0,0.165,0,0,0.165,0.1000,0,-0.329,-2.757,-5.294,-0.294,0.074,2,14,0,0.141,0,0,0.215,0.0862,0,3.050,-0.115,-5.145,-0.145,0.050,2,14,0,0.151,0,0,0.055,0.0937,0,-3.359,-0.117,-5.279,-0.279,0.055,2,14,0,0.138,0,0,0.063,0.0897,0,2.681,0.409,0,0,0.165,0.000,0.000,0.000,0.000
18.0,0.427,-0.156,-5.028,-0.028,0.037,2,14,0,0.176,0,0,0.166,0.0345,0,-0.108,3.105,-5.240,-0.240,0.095,2,14,0,0.138,0,0,0.101,0.1000,0,-0.367,-2.753,-5.214,-0.214,0.068,2,14,0,0.164,0,0,0.254,0.0862,0,2.987,-0.035,-5.184,-0.184,0.012,2,14,0,0.147,0,0,0.155,0.0937,0,-3.377,-0.098,-5.222,-0.222,0.059,2,14,0,0.363,0,0,0.060,0.0897,0,2.568,0.454,0,0,0.363,0.000,0.000,0.000,0.000
19.0,0.385,-0.185,-5.016,-0.016,0.087,2,14,0,0.155,0,0,0.125,0.0345,0,-0.031,3.114,-5.213,-0.213,0.073,2,14,0,0.166,0,0,0.118,0.1000,0,-0.274,-2.811,-5.265,-0.265,0.144,2,14,0,0.195,0,0,0.156,0.0862,0,2.991,-0.039,-5.217,-0.217,0.049,2,14,0,0.173,0,0,0.151,0.0937,0,-3.298,-0.080,-5.239,-0.239,0.062,2,14,0,0.141,0,0,0.033,0.0897,0,2.618,0.427,0,0,0.195,0.000,0.000,0.000,0.000
20.0,0.232,-0.166,-5.019,-0.019,0.113,2,14,0,0.175,0,0,0.028,0.0345,0,-0.037,3.202,-5.248,-0.248,0.073,2,14,0,0.161,0,0,0.068,0.1000,0,-0.086,-2.841,-5.283,-0.283,0.144,2,14,0,0.168,0,0,0.039,0.0862,0,2.968,-0.136,-5.182,-0.182,0.099,2,14,0,0.170,0,0,0.111,0.0937,0,-3.296,-0.015,-5.229,-0.229,0.035,2,14,0,0.144,0,0,0.058,0.0897,0,2.707,0.297,0,0,0.175,0.000,0.000,0.000,0.000
21.0,0.075,-0.168,-5.006,-0.006,0.057,2,14,0,0.176,0,0,0.187,0.0345,0,-0.028,3.309,-5.235,-0.235,0.049,2,14,0,0.136,0,0,0.130,0.1000,0,0.025,-2.897,-5.282,-0.282,0.074,2,14,0,0.141,0,0,0.166,0.0862,0,3.037,-0.172,-5.196,-0.196,0.089,2,14,0,0.144,0,0,0.036,0.0937,0,-3.317,0.031,-5.308,-0.308,0.002,2,14,0,0.165,0,0,0.096,0.0897,0,2.743,0.319,0,0,0.176,0.000,0.000,0.000,0.000
22.0,0.070,-0.153,-4.995,0.005,0.036,2,14,0,0.180,0,0,0.192,0.0345,0,-0.049,3.328,-5.261,-0.261,0.044,2,14,0,0.212,0,0,0.135,0.1000,0,0.011,-2.891,-5.260,-0.260,0.028,2,14,0,0.167,0,0,0.153,0.0862,0,3.125,-0.197,-5.194,-0.194,0.076,2,14,0,0.176,0,0,0.058,0.0937,0,-3.317,-0.016,-5.275,-0.275,0.044,2,14,0,0.142,0,0,0.049,0.0897,0,2.752,0.331,0,0,0.212,0.000,0.000,0.000,0.000
23.0,0.153,-0.159,-4.991,0.009,0.104,2,14,0,0.150,0,0,0.109,0.0379,0,-0.034,3.283,-5.321,-0.321,0.078,2,14,0,0.139,0,0,0.107,0.1000,0,-0.001,-2.806,-5.238,-0.238,0.074,2,14,0,0.170,0,0,0.121,0.0862,0,3.233,-0.229,-5.213,-0.213,0.015,2,14,0,0.142,0,0,0.173,0.0937,0,-3.341,-0.062,-5.203,-0.203,0.041,2,14,0,0.176,0,0,0.013,0.0897,0,2.663,0.346,0,0,0.176,0.000,0.000,0.000,0.000
24.0,0.202,-0.195,-4.958,0.042,0.114,2,14,0,0.181,0,0,0.066,0.0379,0,-0.069,3.212,-5.320,-0.320,0.090,2,14,0,0.164,0,0,0.038,0.1000,0,-0.023,-2.794,-5.232,-0.232,0.077,2,14,0,0.166,0,0,0.103,0.0862,0,3.162,-0.180,-5.266,-0.266,0.065,2,14,0,0.172,0,0,0.094,0.0937,0,-3.299,-0.055,-5.268,-0.268,0.022,2,14,0,0.139,0,0,0.029,0.0897,0,2.624,0.304,0,0,0.181,0.000,0.000,0.000,0.000
25.0,0.275,-0.222,-5.017,-0.017,0.096,2,14,0,0.149,0,0,0.055,0.0379,0,-0.143,3.155,-5.250,-0.250,0.069,2,14,0,0.169,0,0,0.063,0.1000,0,-0.211,-2.759,-5.286,-0.286,0.091,2,14,0,0.164,0,0,0.107,0.0862,0,3.062,-0.167,-5.270,-0.270,0.071,2,14,0,0.145,0,0,0.008,0.0937,0,-3.277,-0.101,-5.284,-0.284,0.028,2,14,0,0.167,0,0,0.062,0.0897,0,2.597,0.353,0,0,0.169,0.000,0.000,0.000,0.000
26.0,0.363,-0.223,-5.044,-0.044,0.060,2,14,0,0.149,0,0,0.115,0.0379,0,-0.176,3.137,-5.235,-0.235,0.014,2,14,0,0.140,0,0,0.098,0.1000,0,-0.270,-2.704,-5.289,-0.289,0.018,2,14,0,0.164,0,0,0.188,0.0862,0,2.940,-0.155,-5.216,-0.216,0.048,2,14,0,0.170,0,0,0.129,0.0937,0,-3.290,-0.100,-5.274,-0.274,0.021,2,14,0,0.169,0,0,0.052,0.0897,0,2.572,0.426,0,0,0.170,0.000,0.000,0.000,0.000
