t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
11.0,-0.567,-0.406,-4.994,0.006,0.048,2,14,0,0.178,0,0,0.205,0.2428,0,-0.235,3.032,-5.874,-0.874,0.142,2,14,0,0.174,0,0,0.266,0.1382,0,0.403,-3.178,-6.178,-1.178,0.116,2,14,0,0.176,0,0,0.271,0.1823,0,2.218,0.272,-6.110,-1.110,0.209,2,14,0,0.195,0,0,0.280,0.1825,0,-2.708,0.999,-5.158,-0.158,0.103,2,14,0,0.183,0,0,0.220,0.2174,0,2.566,1.041,0,0,0.195,0.000,0.000,0.000,0.000
12.0,-0.589,-0.415,-5.002,-0.002,0.095,2,14,0,0.174,0,0,0.184,0.2428,0,-0.460,2.987,-5.991,-0.991,0.171,2,14,0,0.148,0,0,0.125,0.1382,0,0.412,-3.338,-6.199,-1.199,0.157,2,14,0,0.245,0,0,0.219,0.1823,0,2.191,0.461,-6.130,-1.130,0.200,2,14,0,0.172,0,0,0.132,0.1825,0,-2.543,0.985,-5.086,-0.086,0.147,2,14,0,0.167,0,0,0.084,0.2174,0,2.406,1.085,0,0,0.245,0.000,0.000,0.000,0.000
13.0,-0.683,-0.504,-4.982,0.018,0.119,2,14,0,0.158,0,0,0.054,0.2428,0,-0.606,2.949,-5.921,-0.921,0.131,2,14,0,0.221,0,0,0.187,0.1382,0,0.500,-3.446,-6.169,-1.169,0.145,2,14,0,0.145,0,0,0.178,0.1823,0,2.236,0.640,-6.112,-1.112,0.146,2,14,0,0.172,0,0,0.116,0.1825,0,-2.383,1.055,-5.090,-0.090,0.100,2,14,0,0.174,0,0,0.109,0.2174,0,2.310,1.223,0,0,0.221,0.000,0.000,0.000,0.000
14.0,-0.797,-0.559,-5.021,-0.021,0.091,2,14,0,0.146,0,0,0.073,0.2428,0,-0.617,2.850,-5.994,-0.994,0.094,2,14,0,0.212,0,0,0.179,0.1382,0,0.606,-3.457,-6.182,-1.182,0.128,2,14,0,0.171,0,0,0.135,0.1823,0,2.211,0.750,-6.147,-1.147,0.055,2,14,0,0.143,0,0,0.227,0.1825,0,-2.341,1.104,-5.215,-0.215,0.019,2,14,0,0.143,0,0,0.162,0.2174,0,2.277,1.286,0,0,0.212,0.000,0.000,0.000,0.000
15.0,-0.816,-0.602,-5.009,-0.009,0.026,2,14,0,0.149,0,0,0.113,0.2428,0,-0.612,2.745,-5.932,-0.932,0.099,2,14,0,0.209,0,0,0.210,0.1382,0,0.748,-3.399,-6.199,-1.199,0.111,2,14,0,0.165,0,0,0.139,0.1823,0,2.297,0.725,-6.132,-1.132,0.089,2,14,0,0.170,0,0,0.186,0.1825,0,-2.341,1.114,-5.141,-0.141,0.055,2,14,0,0.194,0,0,0.165,0.2174,0,2.300,1.294,0,0,0.209,0.000,0.000,0.000,0.000
16.0,-0.797,-0.518,-5.055,-0.055,0.051,2,14,0,0.172,0,0,0.076,0.2428,0,-0.534,2.752,-5.925,-0.925,0.122,2,14,0,0.170,0,0,0.148,0.1382,0,0.744,-3.331,-6.253,-1.253,0.075,2,14,0,0.163,0,0,0.116,0.1823,0,2.323,0.581,-6.165,-1.165,0.118,2,14,0,0.168,0,0,0.049,0.1825,0,-2.449,1.061,-5.169,-0.169,0.112,2,14,0,0.186,0,0,0.049,0.2174,0,2.288,1.195,0,0,0.186,0.000,0.000,0.000,0.000
17.0,-0.731,-0.540,-4.974,0.026,0.059,2,14,0,0.144,0,0,0.008,0.2428,0,-0.345,2.764,-6.002,-1.002,0.130,2,14,0,0.142,0,0,0.137,0.1382,0,0.705,-3.250,-6.238,-1.238,0.073,2,14,0,0.169,0,0,0.107,0.1823,0,2.379,0.452,-6.091,-1.091,0.090,2,14,0,0.183,0,0,0.119,0.1825,0,-2.666,1.039,-5.137,-0.137,0.105,2,14,0,0.216,0,0,0.167,0.2174,0,2.503,1.092,0,0,0.216,0.000,0.000,0.000,0.000
18.0,-0.750,-0.528,-4.990,0.010,0.033,2,14,0,0.145,0,0,0.024,0.2428,0,-0.310,2.783,-5.932,-0.932,0.071,2,14,0,0.166,0,0,0.152,0.1382,0,0.692,-3.209,-6.211,-1.211,0.038,2,14,0,0.171,0,0,0.130,0.1823,0,2.454,0.389,-6.160,-1.160,0.026,2,14,0,0.178,0,0,0.217,0.1825,0,-2.774,1.042,-5.128,-0.128,0.009,2,14,0,0.162,0,0,0.281,0.2174,0,2.566,1.067,0,0,0.178,0.000,0.000,0.000,0.000
19.0,-0.741,-0.517,-4.938,0.062,0.030,2,14,0,0.147,0,0,0.024,0.2428,0,-0.381,2.854,-5.953,-0.953,0.074,2,14,0,0.140,0,0,0.060,0.1382,0,0.665,-3.154,-6.232,-1.232,0.060,2,14,0,0.168,0,0,0.174,0.1823,0,2.386,0.464,-6.116,-1.116,0.096,2,14,0,0.172,0,0,0.118,0.1825,0,-2.618,1.020,-5.140,-0.140,0.121,2,14,0,0.159,0,0,0.130,0.2174,0,2.434,1.089,0,0,0.172,0.000,0.000,0.000,0.000
20.0,-0.631,-0.596,-5.003,-0.003,0.041,2,14,0,0.180,0,0,0.111,0.2428,0,-0.336,2.880,-5.986,-0.986,0.055,2,14,0,0.175,0,0,0.104,0.1382,0,0.603,-3.185,-6.188,-1.188,0.100,2,14,0,0.167,0,0,0.144,0.1823,0,2.220,0.549,-6.106,-1.106,0.112,2,14,0,0.170,0,0,0.078,0.1825,0,-2.447,0.941,-5.097,-0.097,0.130,2,14,0,0.161,0,0,0.114,0.2174,0,2.381,1.091,0,0,0.180,0.000,0.000,0.000,0.000
