t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
150.0,20.228,-0.004,-4.978,0.022,0.063,2,14,0,0.208,0,0,0.039,0.9199,0,20.360,3.064,-5.307,-0.307,0.056,2,14,0,0.232,0,0,0.069,0.9425,0,19.896,-3.059,-4.089,0.911,0.017,2,14,0,0.162,0,0,0.005,0.9420,0,22.937,-0.038,-5.335,-0.335,0.073,2,14,0,0.165,0,0,0.050,0.9429,0,16.852,0.141,-5.237,-0.237,0.005,2,14,0,0.159,0,0,0.018,0.9366,0,2.733,0.366,0,0,0.232,20.000,0.000,0.000,0.000
151.0,20.223,0.010,-5.010,-0.010,0.050,2,14,0,0.232,0,0,0.042,0.9199,0,20.319,3.060,-5.331,-0.331,0.064,2,14,0,0.244,0,0,0.032,0.9425,0,19.877,-3.080,-4.055,0.945,0.024,2,14,0,0.201,0,0,0.029,0.9420,0,23.006,-0.031,-5.294,-0.294,0.023,2,14,0,0.233,0,0,0.022,0.9429,0,16.879,0.115,-5.240,-0.240,0.030,2,14,0,0.166,0,0,0.038,0.9366,0,2.798,0.325,0,0,0.244,20.000,0.000,0.000,0.000
152.0,20.249,0.017,-5.000,0.000,0.074,2,14,0,0.217,0,0,0.019,0.9199,0,20.245,3.063,-5.324,-0.324,0.014,2,14,0,0.166,0,0,0.049,0.9425,0,19.915,-3.060,-4.089,0.911,0.021,2,14,0,0.210,0,0,0.023,0.9420,0,23.021,-0.013,-5.269,-0.269,0.013,2,14,0,0.164,0,0,0.038,0.9429,0,16.853,0.183,-5.241,-0.241,0.029,2,14,0,0.167,0,0,0.035,0.9366,0,2.786,0.253,0,0,0.217,20.000,0.000,0.000,0.000
153.0,20.281,0.041,-5.028,-0.028,0.041,2,14,0,0.260,0,0,0.036,0.9199,0,20.247,3.079,-5.300,-0.300,0.101,2,14,0,0.199,0,0,0.060,0.9425,0,19.888,-3.050,-4.146,0.854,0.047,2,14,0,0.170,0,0,0.008,0.9420,0,22.992,-0.002,-5.330,-0.330,0.047,2,14,0,0.212,0,0,0.024,0.9429,0,16.873,0.159,-5.181,-0.181,0.019,2,14,0,0.233,0,0,0.010,0.9366,0,2.728,0.284,0,0,0.260,20.000,0.000,0.000,0.000
154.0,20.236,-0.040,-5.001,-0.001,0.067,2,14,0,0.249,0,0,0.058,0.9199,0,20.333,3.031,-5.289,-0.289,0.020,2,14,0,0.239,0,0,0.040,0.9425,0,19.871,-3.072,-4.158,0.842,0.026,2,14,0,0.164,0,0,0.027,0.9420,0,22.924,-0.001,-5.311,-0.311,0.022,2,14,0,0.162,0,0,0.065,0.9429,0,16.857,0.136,-5.162,-0.162,0.025,2,14,0,0.196,0,0,0.019,0.9366,0,2.706,0.334,0,0,0.249,20.000,0.000,0.000,0.000
155.0,20.323,-0.010,-5.006,-0.006,0.085,2,14,0,0.249,0,0,0.062,0.9199,0,20.289,3.015,-5.270,-0.270,0.040,2,14,0,0.193,0,0,0.030,0.9425,0,19.882,-3.073,-4.166,0.834,0.050,2,14,0,0.243,0,0,0.021,0.9420,0,22.990,-0.039,-5.352,-0.352,0.042,2,14,0,0.166,0,0,0.014,0.9429,0,16.872,0.126,-5.194,-0.194,0.025,2,14,0,0.196,0,0,0.026,0.9366,0,2.690,0.323,0,0,0.249,20.000,0.000,0.000,0.000
156.0,20.291,0.024,-5.039,-0.039,0.087,2,14,0,0.216,0,0,0.031,0.9199,0,20.267,3.026,-5.242,-0.242,0.003,2,14,0,0.211,0,0,0.030,0.9425,0,19.926,-3.000,-4.146,0.854,0.059,2,14,0,0.163,0,0,0.065,0.9420,0,22.997,-0.041,-5.288,-0.288,0.026,2,14,0,0.191,0,0,0.020,0.9429,0,16.828,0.141,-5.211,-0.211,0.003,2,14,0,0.167,0,0,0.041,0.9366,0,2.719,0.292,0,0,0.216,20.000,0.000,0.000,0.000
157.0,20.268,0.014,-4.999,0.001,0.021,2,14,0,0.206,0,0,0.006,0.9199,0,20.295,3.033,-5.293,-0.293,0.030,2,14,0,0.200,0,0,0.010,0.9425,0,19.873,-3.049,-4.206,0.794,0.055,2,14,0,0.195,0,0,0.021,0.9420,0,23.025,-0.051,-5.324,-0.324,0.055,2,14,0,0.189,0,0,0.048,0.9429,0,16.858,0.161,-5.223,-0.223,0.032,2,14,0,0.192,0,0,0.013,0.9366,0,2.777,0.297,0,0,0.206,20.000,0.000,0.000,0.000
158.0,20.223,0.033,-5.003,-0.003,0.062,2,14,0,0.211,0,0,0.048,0.9199,0,20.290,3.067,-5.289,-0.289,0.022,2,14,0,0.164,0,0,0.021,0.9425,0,19.899,-3.078,-4.252,0.748,0.045,2,14,0,0.231,0,0,0.023,0.9420,0,23.020,-0.003,-5.346,-0.346,0.039,2,14,0,0.163,0,0,0.042,0.9429,0,16.880,0.159,-5.204,-0.204,0.002,2,14,0,0.160,0,0,0.015,0.9366,0,2.818,0.298,0,0,0.231,20.000,0.000,0.000,0.000
159.0,20.306,-0.023,-4.975,0.025,0.059,2,14,0,0.208,0,0,0.053,0.9199,0,20.269,3.063,-5.272,-0.272,0.048,2,14,0,0.276,0,0,0.032,0.9425,0,19.898,-3.068,-4.131,0.869,0.016,2,14,0,0.225,0,0,0.012,0.9420,0,22.963,-0.031,-5.293,-0.293,0.006,2,14,0,0.165,0,0,0.023,0.9429,0,16.849,0.200,-5.239,-0.239,0.080,2,14,0,0.192,0,0,0.052,0.9366,0,2.676,0.306,0,0,0.276,20.000,0.000,0.000,0.000
160.0,20.265,0.015,-4.996,0.004,0.035,2,14,0,0.176,0,0,0.006,0.9199,0,20.281,3.000,-5.262,-0.262,0.057,2,14,0,0.175,0,0,0.046,0.9425,0,19.921,-3.083,-4.136,0.864,0.061,2,14,0,0.192,0,0,0.041,0.9420,0,23.006,0.010,-5.361,-0.361,0.038,2,14,0,0.199,0,0,0.041,0.9429,0,16.875,0.155,-5.225,-0.225,0.037,2,14,0,0.165,0,0,0.009,0.9366,0,2.765,0.281,0,0,0.199,20.000,0.000,0.000,0.000
161.0,20.267,0.012,-4.958,0.042,0.039,2,14,0,0.213,0,0,0.004,0.9199,0,20.270,3.027,-5.331,-0.331,0.032,2,14,0,0.243,0,0,0.028,0.9425,0,19.930,-3.018,-4.154,0.846,0.048,2,14,0,0.229,0,0,0.053,0.9420,0,23.003,0.010,-5.308,-0.308,0.046,2,14,0,0.167,0,0,0.040,0.9429,0,16.865,0.172,-5.241,-0.241,0.015,2,14,0,0.195,0,0,0.021,0.9366,0,2.759,0.271,0,0,0.243,20.000,0.000,0.000,0.000
162.0,20.213,-0.018,-5.024,-0.024,0.066,2,14,0,0.217,0,0,0.058,0.9199,0,20.318,3.070,-5.300,-0.300,0.015,2,14,0,0.166,0,0,0.035,0.9425,0,19.853,-3.034,-4.093,0.907,0.046,2,14,0,0.166,0,0,0.044,0.9420,0,22.979,-0.029,-5.312,-0.312,0.043,2,14,0,0.164,0,0,0.006,0.9429,0,16.867,0.141,-5.218,-0.218,0.009,2,14,0,0.176,0,0,0.010,0.9366,0,2.781,0.326,0,0,0.217,20.000,0.000,0.000,0.000
163.0,20.246,0.002,-5.003,-0.003,0.034,2,14,0,0.209,0,0,0.021,0.9199,0,20.322,3.079,-5.298,-0.298,0.075,2,14,0,0.193,0,0,0.044,0.9425,0,19.845,-3.046,-4.145,0.855,0.089,2,14,0,0.195,0,0,0.050,0.9420,0,22.974,-0.017,-5.307,-0.307,0.016,2,14,0,0.159,0,0,0.014,0.9429,0,16.902,0.131,-5.199,-0.199,0.049,2,14,0,0.226,0,0,0.040,0.9366,0,2.745,0.331,0,0,0.226,20.000,0.000,0.000,0.000
164.0,20.296,0.015,-5.002,-0.002,0.054,2,14,0,0.185,0,0,0.033,0.9199,0,20.338,3.030,-5.256,-0.256,0.053,2,14,0,0.208,0,0,0.048,0.9425,0,19.871,-3.051,-4.116,0.884,0.040,2,14,0,0.193,0,0,0.023,0.9420,0,22.985,-0.034,-5.290,-0.290,0.029,2,14,0,0.234,0,0,0.010,0.9429,0,16.887,0.135,-5.245,-0.245,0.068,2,14,0,0.193,0,0,0.026,0.9366,0,2.705,0.339,0,0,0.234,20.000,0.000,0.000,0.000
165.0,20.254,0.004,-5.080,-0.080,0.017,2,14,0,0.217,0,0,0.011,0.9199,0,20.334,3.068,-5.235,-0.235,0.031,2,14,0,0.201,0,0,0.044,0.9425,0,19.947,-3.050,-4.134,0.866,0.057,2,14,0,0.322,0,0,0.055,0.9420,0,22.977,-0.009,-5.339,-0.339,0.016,2,14,0,0.170,0,0,0.018,0.9429,0,16.879,0.162,-5.205,-0.205,0.003,2,14,0,0.163,0,0,0.016,0.9366,0,2.736,0.341,0,0,0.322,20.000,0.000,0.000,0.000
166.0,20.269,0.005,-4.955,0.045,0.036,2,14,0,0.215,0,0,0.006,0.9199,0,20.291,3.061,-5.253,-0.253,0.027,2,14,0,0.234,0,0,0.014,0.9425,0,19.887,-3.043,-4.157,0.843,0.031,2,14,0,0.179,0,0,0.014,0.9420,0,23.027,-0.017,-5.392,-0.392,0.011,2,14,0,0.165,0,0,0.043,0.9429,0,16.810,0.159,-5.222,-0.222,0.042,2,14,0,0.164,0,0,0.058,0.9366,0,2.793,0.297,0,0,0.234,20.000,0.000,0.000,0.000
167.0,20.324,0.029,-4.989,0.011,0.084,2,14,0,0.217,0,0,0.062,0.9199,0,20.257,3.065,-5.355,-0.355,0.043,2,14,0,0.171,0,0,0.042,0.9425,0,19.852,-3.046,-4.202,0.798,0.067,2,14,0,0.210,0,0,0.042,0.9420,0,22.920,-0.012,-5.312,-0.312,0.027,2,14,0,0.199,0,0,0.065,0.9429,0,16.854,0.160,-5.199,-0.199,0.036,2,14,0,0.167,0,0,0.016,0.9366,0,2.617,0.325,0,0,0.217,20.000,0.000,0.000,0.000
168.0,20.238,-0.007,-4.911,0.089,0.026,2,14,0,0.211,0,0,0.031,0.9199,0,20.287,3.049,-5.316,-0.316,0.038,2,14,0,0.163,0,0,0.008,0.9425,0,19.879,-3.034,-4.151,0.849,0.040,2,14,0,0.193,0,0,0.026,0.9420,0,22.971,-0.041,-5.282,-0.282,0.030,2,14,0,0.199,0,0,0.021,0.9429,0,16.859,0.151,-5.221,-0.221,0.009,2,14,0,0.197,0,0,0.008,0.9366,0,2.757,0.291,0,0,0.211,20.000,0.000,0.000,0.000
169.0,20.226,-0.013,-5.008,-0.008,0.038,2,14,0,0.223,0,0,0.045,0.9199,0,20.304,3.048,-5.310,-0.310,0.009,2,14,0,0.204,0,0,0.010,0.9425,0,19.896,-3.076,-4.122,0.878,0.027,2,14,0,0.196,0,0,0.021,0.9420,0,23.010,-0.033,-5.341,-0.341,0.046,2,14,0,0.172,0,0,0.027,0.9429,0,16.859,0.133,-5.242,-0.242,0.048,2,14,0,0.198,0,0,0.020,0.9366,0,2.804,0.308,0,0,0.223,20.000,0.000,0.000,0.000
170.0,20.278,-0.013,-5.055,-0.055,0.033,2,14,0,0.215,0,0,0.027,0.9199,0,20.285,3.051,-5.332,-0.332,0.019,2,14,0,0.198,0,0,0.011,0.9425,0,19.893,-3.081,-4.108,0.892,0.042,2,14,0,0.166,0,0,0.024,0.9420,0,22.969,-0.012,-5.310,-0.310,0.082,2,14,0,0.202,0,0,0.021,0.9429,0,16.898,0.134,-5.258,-0.258,0.029,2,14,0,0.198,0,0,0.035,0.9366,0,2.703,0.290,0,0,0.215,20.000,0.000,0.000,0.000
171.0,20.296,0.007,-5.084,-0.084,0.040,2,14,0,0.217,0,0,0.031,0.9199,0,20.312,3.070,-5.284,-0.284,0.031,2,14,0,0.233,0,0,0.032,0.9425,0,19.894,-3.108,-4.130,0.870,0.062,2,14,0,0.196,0,0,0.053,0.9420,0,22.982,-0.037,-5.317,-0.317,0.041,2,14,0,0.203,0,0,0.012,0.9429,0,16.876,0.185,-5.170,-0.170,0.056,2,14,0,0.197,0,0,0.035,0.9366,0,2.697,0.320,0,0,0.233,20.000,0.000,0.000,0.000
172.0,20.271,0.001,-5.091,-0.091,0.017,2,14,0,0.215,0,0,0.011,0.9199,0,20.279,3.037,-5.252,-0.252,0.048,2,14,0,0.197,0,0,0.018,0.9425,0,19.878,-3.090,-4.126,0.874,0.040,2,14,0,0.203,0,0,0.037,0.9420,0,22.998,-0.016,-5.234,-0.234,0.026,2,14,0,0.230,0,0,0.017,0.9429,0,16.878,0.218,-5.207,-0.207,0.067,2,14,0,0.192,0,0,0.067,0.9366,0,2.731,0.282,0,0,0.230,20.000,0.000,0.000,0.000
173.0,20.239,0.016,-5.019,-0.019,0.022,2,14,0,0.187,0,0,0.026,0.9199,0,20.280,3.024,-5.270,-0.270,0.039,2,14,0,0.155,0,0,0.026,0.9425,0,19.927,-3.081,-4.092,0.908,0.052,2,14,0,0.228,0,0,0.043,0.9420,0,22.983,-0.029,-5.255,-0.255,0.017,2,14,0,0.206,0,0,0.004,0.9429,0,16.851,0.177,-5.162,-0.162,0.012,2,14,0,0.164,0,0,0.030,0.9366,0,2.754,0.281,0,0,0.228,20.000,0.000,0.000,0.000
174.0,20.252,0.016,-4.946,0.054,0.007,2,14,0,0.221,0,0,0.012,0.9199,0,20.313,3.050,-5.203,-0.203,0.018,2,14,0,0.204,0,0,0.019,0.9425,0,19.917,-3.035,-4.153,0.847,0.022,2,14,0,0.171,0,0,0.032,0.9420,0,22.983,-0.030,-5.263,-0.263,0.030,2,14,0,0.229,0,0,0.005,0.9429,0,16.903,0.163,-5.225,-0.225,0.023,2,14,0,0.255,0,0,0.038,0.9366,0,2.751,0.317,0,0,0.255,20.000,0.000,0.000,0.000
175.0,20.261,0.023,-4.937,0.063,0.035,2,14,0,0.253,0,0,0.014,0.9199,0,20.310,3.037,-5.228,-0.228,0.045,2,14,0,0.210,0,0,0.020,0.9425,0,19.875,-3.049,-4.152,0.848,0.023,2,14,0,0.209,0,0,0.018,0.9420,0,23.045,-0.026,-5.318,-0.318,0.065,2,14,0,0.171,0,0,0.060,0.9429,0,16.870,0.152,-5.201,-0.201,0.025,2,14,0,0.197,0,0,0.003,0.9366,0,2.811,0.312,0,0,0.253,20.000,0.000,0.000,0.000
176.0,20.264,0.018,-4.949,0.051,0.026,2,14,0,0.185,0,0,0.008,0.9199,0,20.247,3.088,-5.331,-0.331,0.071,2,14,0,0.196,0,0,0.064,0.9425,0,19.917,-3.081,-4.155,0.845,0.051,2,14,0,0.203,0,0,0.034,0.9420,0,22.989,-0.064,-5.264,-0.264,0.046,2,14,0,0.199,0,0,0.038,0.9429,0,16.884,0.155,-5.252,-0.252,0.029,2,14,0,0.162,0,0,0.017,0.9366,0,2.745,0.264,0,0,0.203,20.000,0.000,0.000,0.000
177.0,20.272,0.003,-5.001,-0.001,0.027,2,14,0,0.191,0,0,0.011,0.9199,0,20.273,3.076,-5.290,-0.290,0.015,2,14,0,0.158,0,0,0.035,0.9425,0,19.902,-3.030,-4.126,0.874,0.004,2,14,0,0.192,0,0,0.027,0.9420,0,22.974,-0.038,-5.209,-0.209,0.059,2,14,0,0.198,0,0,0.017,0.9429,0,16.844,0.154,-5.265,-0.265,0.045,2,14,0,0.197,0,0,0.024,0.9366,0,2.710,0.284,0,0,0.198,20.000,0.000,0.000,0.000
