t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
131.0,-19.708,0.106,-5.018,-0.018,0.982,2,14,0,0.277,0,0,0.029,0.3837,0,-20.121,3.425,-4.710,0.290,0.976,2,14,0,0.191,0,0,0.020,0.9456,0,-20.398,-2.531,-4.330,0.670,1.028,2,14,0,0.193,0,0,0.035,0.9414,0,-16.918,0.211,-4.748,0.252,1.020,2,14,0,0.206,0,0,0.017,0.9424,0,-22.906,0.438,-5.078,-0.078,0.988,2,14,0,0.191,0,0,0.034,0.9358,0,2.805,0.441,0,0,0.277,-19.996,0.288,-0.029,-1.000
132.0,-19.682,-0.858,-5.047,-0.047,0.993,2,14,0,0.199,0,0,0.007,0.3837,0,-20.083,2.420,-4.699,0.301,0.987,2,14,0,0.193,0,0,0.039,0.9456,0,-20.406,-3.566,-4.366,0.634,0.959,2,14,0,0.231,0,0,0.038,0.9414,0,-16.887,-0.780,-4.748,0.252,1.026,2,14,0,0.249,0,0,0.030,0.9424,0,-22.866,-0.543,-5.077,-0.077,1.014,2,14,0,0.191,0,0,0.009,0.9358,0,2.811,0.455,0,0,0.249,-19.975,-0.712,0.071,-0.997
133.0,-19.541,-1.816,-5.041,-0.041,1.061,2,14,0,0.198,0,0,0.047,0.3837,0,-20.023,1.404,-4.709,0.291,0.993,2,14,0,0.196,0,0,0.045,0.9456,0,-20.257,-4.533,-4.381,0.619,0.994,2,14,0,0.190,0,0,0.036,0.9414,0,-16.756,-1.793,-4.763,0.237,0.978,2,14,0,0.193,0,0,0.032,0.9424,0,-22.713,-1.509,-5.136,-0.136,1.008,2,14,0,0.232,0,0,0.033,0.9358,0,2.799,0.438,0,0,0.232,-19.854,-1.704,0.170,-0.985
134.0,-19.374,-2.828,-4.960,0.040,1.031,2,14,0,0.199,0,0,0.034,0.3837,0,-19.767,0.483,-4.763,0.237,1.015,2,14,0,0.188,0,0,0.014,0.9456,0,-20.056,-5.467,-4.296,0.704,1.021,2,14,0,0.191,0,0,0.027,0.9414,0,-16.564,-2.757,-4.721,0.279,0.999,2,14,0,0.198,0,0,0.018,0.9424,0,-22.496,-2.474,-5.135,-0.135,1.054,2,14,0,0.271,0,0,0.040,0.9358,0,2.805,0.472,0,0,0.271,-19.634,-2.679,0.268,-0.963
135.0,-19.033,-3.758,-5.004,-0.004,1.030,2,14,0,0.192,0,0,0.023,0.3837,0,-19.439,-0.494,-4.732,0.268,0.992,2,14,0,0.240,0,0,0.029,0.9456,0,-19.779,-6.415,-4.285,0.715,1.040,2,14,0,0.193,0,0,0.039,0.9414,0,-16.252,-3.706,-4.732,0.268,1.021,2,14,0,0.203,0,0,0.011,0.9424,0,-22.186,-3.463,-5.063,-0.063,0.999,2,14,0,0.193,0,0,0.021,0.9358,0,2.794,0.506,0,0,0.240,-19.319,-3.628,0.363,-0.932
136.0,-18.608,-4.682,-4.881,0.119,1.058,2,14,0,0.198,0,0,0.017,0.3837,0,-18.990,-1.372,-4.704,0.296,1.000,2,14,0,0.199,0,0,0.064,0.9456,0,-19.367,-7.346,-4.292,0.708,1.020,2,14,0,0.191,0,0,0.019,0.9414,0,-15.865,-4.642,-4.737,0.263,1.029,2,14,0,0.202,0,0,0.025,0.9424,0,-21.809,-4.382,-5.005,-0.005,0.974,2,14,0,0.198,0,0,0.020,0.9358,0,2.747,0.496,0,0,0.202,-18.910,-4.540,0.454,-0.891
137.0,-18.126,-5.574,-4.934,0.066,1.000,2,14,0,0.195,0,0,0.013,0.3837,0,-18.571,-2.208,-4.628,0.372,1.054,2,14,0,0.226,0,0,0.057,0.9456,0,-18.860,-8.204,-4.353,0.647,1.021,2,14,0,0.188,0,0,0.016,0.9414,0,-15.419,-5.481,-4.771,0.229,1.005,2,14,0,0.201,0,0,0.072,0.9424,0,-21.333,-5.230,-5.122,-0.122,1.031,2,14,0,0.187,0,0,0.030,0.9358,0,2.714,0.491,0,0,0.226,-18.412,-5.407,0.541,-0.841
138.0,-17.552,-6.375,-5.057,-0.057,1.019,2,14,0,0.199,0,0,0.011,0.3837,0,-18.003,-3.003,-4.681,0.319,1.095,2,14,0,0.190,0,0,0.071,0.9456,0,-18.231,-9.034,-4.343,0.657,0.980,2,14,0,0.187,0,0,0.035,0.9414,0,-14.778,-6.327,-4.703,0.297,1.045,2,14,0,0.196,0,0,0.023,0.9424,0,-20.758,-6.029,-5.088,-0.088,1.012,2,14,0,0.185,0,0,0.043,0.9358,0,2.797,0.441,0,0,0.199,-17.831,-6.219,0.622,-0.783
139.0,-16.877,-7.138,-5.032,-0.032,0.978,2,14,0,0.200,0,0,0.016,0.3837,0,-17.337,-3.791,-4.681,0.319,1.068,2,14,0,0.162,0,0,0.038,0.9456,0,-17.593,-9.763,-4.316,0.684,0.990,2,14,0,0.248,0,0,0.025,0.9414,0,-14.124,-7.022,-4.734,0.266,1.056,2,14,0,0.198,0,0,0.023,0.9424,0,-20.041,-6.791,-5.091,-0.091,1.001,2,14,0,0.189,0,0,0.022,0.9358,0,2.771,0.471,0,0,0.248,-17.171,-6.970,0.697,-0.717
140.0,-16.154,-7.868,-5.054,-0.054,0.984,2,14,0,0.196,0,0,0.063,0.3837,0,-16.612,-4.493,-4.715,0.285,1.006,2,14,0,0.193,0,0,0.029,0.9456,0,-16.895,-10.433,-4.332,0.668,1.039,2,14,0,0.191,0,0,0.033,0.9414,0,-13.348,-7.735,-4.711,0.289,1.035,2,14,0,0.211,0,0,0.026,0.9424,0,-19.305,-7.504,-5.070,-0.070,0.969,2,14,0,0.191,0,0,0.034,0.9358,0,2.766,0.505,0,0,0.211,-16.439,-7.651,0.765,-0.644
141.0,-15.361,-8.453,-5.065,-0.065,1.025,2,14,0,0.195,0,0,0.043,0.3837,0,-15.816,-5.104,-4.721,0.279,1.035,2,14,0,0.193,0,0,0.027,0.9456,0,-16.030,-11.109,-4.347,0.653,0.942,2,14,0,0.230,0,0,0.067,0.9414,0,-12.535,-8.344,-4.765,0.235,0.923,2,14,0,0.197,0,0,0.043,0.9424,0,-18.520,-8.084,-5.041,-0.041,0.967,2,14,0,0.230,0,0,0.019,0.9358,0,2.832,0.414,0,0,0.230,-15.643,-8.256,0.826,-0.564
142.0,-14.480,-8.891,-5.019,-0.019,1.015,2,14,0,0.194,0,0,0.047,0.3837,0,-14.919,-5.656,-4.692,0.308,0.995,2,14,0,0.191,0,0,0.032,0.9456,0,-15.242,-11.604,-4.355,0.645,1.027,2,14,0,0.196,0,0,0.024,0.9414,0,-11.717,-8.866,-4.784,0.216,1.002,2,14,0,0.197,0,0,0.008,0.9424,0,-17.688,-8.576,-5.158,-0.158,1.041,2,14,0,0.195,0,0,0.032,0.9358,0,2.774,0.484,0,0,0.197,-14.791,-8.778,0.878,-0.479
143.0,-13.638,-9.343,-4.997,0.003,1.007,2,14,0,0.195,0,0,0.039,0.3837,0,-13.989,-6.082,-4.636,0.364,0.968,2,14,0,0.188,0,0,0.050,0.9456,0,-14.336,-12.015,-4.369,0.631,1.007,2,14,0,0.193,0,0,0.010,0.9414,0,-10.821,-9.305,-4.740,0.260,1.002,2,14,0,0.192,0,0,0.005,0.9424,0,-16.778,-9.040,-5.178,-0.178,0.972,2,14,0,0.243,0,0,0.009,0.9358,0,2.829,0.487,0,0,0.243,-13.890,-9.212,0.921,-0.389
144.0,-12.648,-9.723,-4.951,0.049,1.019,2,14,0,0.193,0,0,0.021,0.3855,0,-13.071,-6.388,-4.671,0.329,0.988,2,14,0,0.190,0,0,0.031,0.9456,0,-13.396,-12.319,-4.367,0.633,1.019,2,14,0,0.232,0,0,0.048,0.9414,0,-9.887,-9.622,-4.798,0.202,0.972,2,14,0,0.331,0,0,0.021,0.9424,0,-15.803,-9.328,-5.177,-0.177,0.998,2,14,0,0.238,0,0,0.066,0.9358,0,2.764,0.503,0,0,0.331,-12.951,-9.555,0.955,-0.295
145.0,-11.666,-9.944,-4.962,0.038,0.965,2,14,0,0.193,0,0,0.033,0.3855,0,-12.112,-6.635,-4.729,0.271,0.990,2,14,0,0.194,0,0,0.022,0.9456,0,-12.419,-12.612,-4.382,0.618,0.975,2,14,0,0.190,0,0,0.004,0.9414,0,-8.933,-9.900,-4.772,0.228,1.019,2,14,0,0.198,0,0,0.019,0.9424,0,-14.862,-9.593,-5.098,-0.098,1.012,2,14,0,0.230,0,0,0.040,0.9358,0,2.740,0.476,0,0,0.230,-11.983,-9.802,0.980,-0.198
146.0,-10.720,-10.126,-4.952,0.048,1.027,2,14,0,0.193,0,0,0.022,0.3855,0,-11.093,-6.802,-4.720,0.280,0.960,2,14,0,0.190,0,0,0.047,0.9456,0,-11.422,-12.755,-4.315,0.685,0.991,2,14,0,0.228,0,0,0.016,0.9414,0,-7.932,-10.042,-4.671,0.329,1.031,2,14,0,0.204,0,0,0.012,0.9424,0,-13.869,-9.798,-5.067,-0.067,0.973,2,14,0,0.184,0,0,0.023,0.9358,0,2.795,0.471,0,0,0.228,-10.994,-9.950,0.995,-0.099
147.0,-9.681,-10.161,-4.999,0.001,0.983,2,14,0,0.200,0,0,0.029,0.3855,0,-10.125,-6.857,-4.781,0.219,1.009,2,14,0,0.191,0,0,0.009,0.9456,0,-10.418,-12.816,-4.349,0.651,0.989,2,14,0,0.189,0,0,0.010,0.9414,0,-6.943,-10.073,-4.761,0.239,1.014,2,14,0,0.201,0,0,0.021,0.9424,0,-12.887,-9.873,-5.107,-0.107,1.013,2,14,0,0.193,0,0,0.043,0.9358,0,2.750,0.461,0,0,0.201,-9.996,-10.000,1.000,0.000
148.0,-8.688,-10.116,-5.056,-0.056,0.993,2,14,0,0.193,0,0,0.025,0.3855,0,-9.152,-6.783,-4.699,0.301,1.027,2,14,0,0.189,0,0,0.020,0.9456,0,-9.390,-12.778,-4.327,0.673,0.992,2,14,0,0.639,0,0,0.049,0.9414,0,-5.932,-10.027,-4.697,0.303,0.975,2,14,0,0.197,0,0,0.011,0.9424,0,-11.885,-9.815,-5.060,-0.060,0.985,2,14,0,0.191,0,0,0.036,0.9358,0,2.781,0.428,0,0,0.639,-8.997,-9.950,0.995,0.100
