t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
124.0,20.077,0.165,-5.001,-0.001,0.080,2,14,0,0.154,0,0,0.117,0.5764,0,19.758,2.805,-4.666,0.334,0.050,2,14,0,0.135,0,0,0.080,0.6080,0,20.319,-2.903,-4.013,0.987,0.039,2,14,0,0.177,0,0,0.081,0.6239,0,22.815,-0.053,-3.734,1.266,0.037,2,14,0,0.136,0,0,0.124,0.6458,0,16.836,-0.153,-4.552,0.448,0.128,2,14,0,0.168,0,0,0.092,0.6130,0,2.680,0.333,0,0,0.177,20.000,0.000,0.000,0.000
125.0,19.926,0.171,-5.040,-0.040,0.102,2,14,0,0.174,0,0,0.120,0.5764,0,19.772,2.821,-4.583,0.417,0.043,2,14,0,0.205,0,0,0.060,0.6080,0,20.256,-3.005,-4.065,0.935,0.058,2,14,0,0.176,0,0,0.043,0.6239,0,22.805,-0.013,-3.774,1.226,0.061,2,14,0,0.169,0,0,0.105,0.6458,0,16.706,-0.078,-4.566,0.434,0.122,2,14,0,0.168,0,0,0.081,0.6130,0,2.694,0.304,0,0,0.205,20.000,0.000,0.000,0.000
126.0,19.821,0.113,-5.021,-0.021,0.071,2,14,0,0.210,0,0,0.186,0.5764,0,19.795,2.782,-4.605,0.395,0.057,2,14,0,0.142,0,0,0.065,0.6080,0,20.313,-3.060,-4.041,0.959,0.033,2,14,0,0.179,0,0,0.084,0.6239,0,22.676,0.060,-3.725,1.275,0.076,2,14,0,0.194,0,0,0.058,0.6458,0,16.596,-0.074,-4.606,0.394,0.050,2,14,0,0.166,0,0,0.166,0.6130,0,2.702,0.411,0,0,0.210,20.000,0.000,0.000,0.000
127.0,19.853,0.030,-5.009,-0.009,0.085,2,14,0,0.179,0,0,0.158,0.5764,0,19.791,2.750,-4.576,0.424,0.046,2,14,0,0.141,0,0,0.096,0.6080,0,20.337,-3.088,-4.004,0.996,0.016,2,14,0,0.177,0,0,0.120,0.6239,0,22.592,0.102,-3.740,1.260,0.032,2,14,0,0.168,0,0,0.147,0.6458,0,16.557,-0.092,-4.586,0.414,0.040,2,14,0,0.160,0,0,0.197,0.6130,0,2.755,0.452,0,0,0.179,20.000,0.000,0.000,0.000
128.0,19.935,-0.037,-4.961,0.039,0.091,2,14,0,0.193,0,0,0.131,0.5764,0,19.801,2.846,-4.658,0.342,0.070,2,14,0,0.203,0,0,0.031,0.6080,0,20.315,-3.116,-3.983,1.017,0.048,2,14,0,0.228,0,0,0.141,0.6239,0,22.576,0.057,-3.730,1.270,0.046,2,14,0,0.198,0,0,0.138,0.6458,0,16.603,-0.137,-4.550,0.450,0.080,2,14,0,0.139,0,0,0.142,0.6130,0,2.902,0.427,0,0,0.228,20.000,0.000,0.000,0.000
129.0,19.992,-0.062,-4.953,0.047,0.089,2,14,0,0.175,0,0,0.138,0.5764,0,19.828,2.929,-4.627,0.373,0.053,2,14,0,0.203,0,0,0.091,0.6080,0,20.245,-3.079,-4.021,0.979,0.079,2,14,0,0.175,0,0,0.111,0.6239,0,22.617,-0.012,-3.680,1.320,0.081,2,14,0,0.167,0,0,0.091,0.6458,0,16.717,-0.177,-4.587,0.413,0.115,2,14,0,0.172,0,0,0.040,0.6130,0,2.917,0.384,0,0,0.203,20.000,0.000,0.000,0.000
130.0,20.148,-0.018,-4.989,0.011,0.096,2,14,0,0.173,0,0,0.172,0.5764,0,19.869,2.906,-4.628,0.372,0.026,2,14,0,0.143,0,0,0.080,0.6080,0,20.244,-2.956,-4.027,0.973,0.094,2,14,0,0.177,0,0,0.050,0.6239,0,22.715,-0.017,-3.698,1.302,0.074,2,14,0,0.165,0,0,0.023,0.6458,0,16.794,-0.186,-4.574,0.426,0.067,2,14,0,0.165,0,0,0.062,0.6130,0,2.874,0.285,0,0,0.177,20.000,0.000,0.000,0.000
131.0,20.210,0.061,-4.929,0.071,0.086,2,14,0,0.175,0,0,0.205,0.5764,0,19.890,2.835,-4.619,0.381,0.045,2,14,0,0.179,0,0,0.058,0.6080,0,20.270,-2.862,-4.044,0.956,0.053,2,14,0,0.150,0,0,0.118,0.6239,0,22.715,-0.072,-3.761,1.239,0.034,2,14,0,0.171,0,0,0.077,0.6458,0,16.786,-0.163,-4.565,0.435,0.025,2,14,0,0.133,0,0,0.044,0.6130,0,2.767,0.303,0,0,0.179,20.000,0.000,0.000,0.000
132.0,20.067,0.133,-4.984,0.016,0.124,2,14,0,0.170,0,0,0.087,0.5764,0,19.857,2.808,-4.610,0.390,0.038,2,14,0,0.138,0,0,0.039,0.6080,0,20.317,-2.834,-4.064,0.936,0.028,2,14,0,0.155,0,0,0.148,0.6239,0,22.752,-0.070,-3.735,1.265,0.034,2,14,0,0.166,0,0,0.090,0.6458,0,16.836,-0.141,-4.566,0.434,0.024,2,14,0,0.172,0,0,0.092,0.6130,0,2.709,0.358,0,0,0.172,20.000,0.000,0.000,0.000
133.0,19.967,0.138,-5.004,-0.004,0.092,2,14,0,0.176,0,0,0.070,0.5764,0,19.835,2.835,-4.577,0.423,0.031,2,14,0,0.232,0,0,0.005,0.6080,0,20.288,-2.888,-4.046,0.954,0.063,2,14,0,0.211,0,0,0.091,0.6239,0,22.805,-0.085,-3.777,1.223,0.036,2,14,0,0.147,0,0,0.137,0.6458,0,16.816,-0.122,-4.504,0.496,0.037,2,14,0,0.149,0,0,0.077,0.6130,0,2.734,0.309,0,0,0.232,20.000,0.000,0.000,0.000
134.0,19.973,0.148,-5.018,-0.018,0.031,2,14,0,0.178,0,0,0.079,0.5764,0,19.919,2.862,-4.568,0.432,0.011,2,14,0,0.206,0,0,0.088,0.6080,0,20.310,-2.936,-3.995,1.005,0.067,2,14,0,0.145,0,0,0.048,0.6239,0,22.710,-0.056,-3.768,1.232,0.083,2,14,0,0.201,0,0,0.065,0.6458,0,16.733,-0.171,-4.543,0.457,0.043,2,14,0,0.142,0,0,0.024,0.6130,0,2.751,0.317,0,0,0.206,20.000,0.000,0.000,0.000
135.0,19.941,0.136,-5.013,-0.013,0.039,2,14,0,0.142,0,0,0.086,0.5764,0,19.904,2.813,-4.630,0.370,0.047,2,14,0,0.166,0,0,0.077,0.6080,0,20.314,-2.996,-4.035,0.965,0.059,2,14,0,0.152,0,0,0.030,0.6239,0,22.652,0.077,-3.774,1.226,0.071,2,14,0,0.227,0,0,0.087,0.6458,0,16.819,-0.199,-4.611,0.389,0.020,2,14,0,0.150,0,0,0.089,0.6130,0,2.705,0.356,0,0,0.227,20.000,0.000,0.000,0.000
136.0,19.935,0.124,-5.043,-0.043,0.048,2,14,0,0.147,0,0,0.084,0.5764,0,19.776,2.753,-4.636,0.364,0.065,2,14,0,0.166,0,0,0.098,0.6080,0,20.281,-3.058,-4.054,0.946,0.027,2,14,0,0.160,0,0,0.081,0.6239,0,22.725,0.166,-3.706,1.294,0.022,2,14,0,0.168,0,0,0.161,0.6458,0,16.739,-0.193,-4.564,0.436,0.060,2,14,0,0.167,0,0,0.044,0.6130,0,2.665,0.334,0,0,0.168,20.000,0.000,0.000,0.000
137.0,19.968,0.094,-4.990,0.010,0.058,2,14,0,0.142,0,0,0.040,0.5764,0,19.686,2.747,-4.660,0.340,0.033,2,14,0,0.140,0,0,0.168,0.6080,0,20.248,-3.009,-3.998,1.002,0.030,2,14,0,0.220,0,0,0.052,0.6239,0,22.761,0.163,-3.702,1.298,0.049,2,14,0,0.165,0,0,0.169,0.6458,0,16.704,-0.161,-4.538,0.462,0.045,2,14,0,0.139,0,0,0.042,0.6130,0,2.688,0.403,0,0,0.220,20.000,0.000,0.000,0.000
138.0,19.953,0.049,-4.969,0.031,0.059,2,14,0,0.148,0,0,0.058,0.5764,0,19.704,2.788,-4.665,0.335,0.065,2,14,0,0.167,0,0,0.137,0.6080,0,20.277,-2.991,-4.018,0.982,0.036,2,14,0,0.153,0,0,0.018,0.6239,0,22.738,0.055,-3.702,1.298,0.097,2,14,0,0.162,0,0,0.062,0.6458,0,16.678,-0.119,-4.482,0.518,0.030,2,14,0,0.173,0,0,0.073,0.6130,0,2.767,0.364,0,0,0.173,20.000,0.000,0.000,0.000
139.0,20.038,0.026,-5.002,-0.002,0.041,2,14,0,0.142,0,0,0.060,0.5764,0,19.803,2.871,-4.587,0.413,0.098,2,14,0,0.164,0,0,0.045,0.6080,0,20.295,-3.015,-4.051,0.949,0.020,2,14,0,0.189,0,0,0.038,0.6239,0,22.681,-0.062,-3.726,1.274,0.086,2,14,0,0.163,0,0,0.068,0.6458,0,16.707,-0.108,-4.551,0.449,0.025,2,14,0,0.162,0,0,0.056,0.6130,0,2.885,0.325,0,0,0.189,20.000,0.000,0.000,0.000
140.0,20.092,0.047,-4.964,0.036,0.022,2,14,0,0.173,0,0,0.092,0.5764,0,19.932,2.910,-4.638,0.362,0.063,2,14,0,0.162,0,0,0.124,0.6080,0,20.307,-2.949,-4.000,1.000,0.025,2,14,0,0.152,0,0,0.034,0.6239,0,22.592,-0.067,-3.725,1.275,0.022,2,14,0,0.161,0,0,0.133,0.6458,0,16.748,-0.112,-4.471,0.529,0.026,2,14,0,0.165,0,0,0.039,0.6130,0,2.793,0.414,0,0,0.173,20.000,0.000,0.000,0.000
141.0,20.074,0.074,-4.991,0.009,0.037,2,14,0,0.146,0,0,0.070,0.5764,0,19.940,2.944,-4.628,0.372,0.021,2,14,0,0.162,0,0,0.154,0.6080,0,20.353,-2.974,-4.062,0.938,0.011,2,14,0,0.186,0,0,0.063,0.6239,0,22.677,-0.034,-3.759,1.241,0.048,2,14,0,0.163,0,0,0.050,0.6458,0,16.761,-0.156,-4.532,0.468,0.029,2,14,0,0.167,0,0,0.017,0.6130,0,2.882,0.354,0,0,0.186,20.000,0.000,0.000,0.000
142.0,20.044,0.121,-5.012,-0.012,0.056,2,14,0,0.147,0,0,0.060,0.5764,0,19.917,2.880,-4.592,0.408,0.073,2,14,0,0.301,0,0,0.097,0.6080,0,20.351,-3.014,-4.091,0.909,0.023,2,14,0,0.147,0,0,0.071,0.6239,0,22.716,-0.028,-3.752,1.248,0.041,2,14,0,0.198,0,0,0.036,0.6458,0,16.703,-0.175,-4.493,0.507,0.016,2,14,0,0.169,0,0,0.048,0.6130,0,2.794,0.351,0,0,0.301,20.000,0.000,0.000,0.000
143.0,19.958,0.144,-5.036,-0.036,0.056,2,14,0,0.208,0,0,0.082,0.5764,0,19.884,2.812,-4.605,0.395,0.089,2,14,0,0.171,0,0,0.064,0.6080,0,20.294,-3.037,-4.014,0.986,0.046,2,14,0,0.169,0,0,0.059,0.6239,0,22.700,-0.061,-3.725,1.275,0.016,2,14,0,0.141,0,0,0.064,0.6458,0,16.686,-0.196,-4.501,0.499,0.001,2,14,0,0.172,0,0,0.075,0.6130,0,2.704,0.371,0,0,0.208,20.000,0.000,0.000,0.000
144.0,19.909,0.150,-5.052,-0.052,0.040,2,14,0,0.151,0,0,0.120,0.5764,0,19.750,2.827,-4.631,0.369,0.062,2,14,0,0.146,0,0,0.081,0.6080,0,20.261,-2.994,-4.005,0.995,0.047,2,14,0,0.185,0,0,0.033,0.6239,0,22.749,-0.067,-3.737,1.263,0.038,2,14,0,0.193,0,0,0.085,0.6458,0,16.685,-0.218,-4.609,0.391,0.033,2,14,0,0.140,0,0,0.091,0.6130,0,2.715,0.383,0,0,0.193,20.000,0.000,0.000,0.000
145.0,19.910,0.035,-4.975,0.025,0.060,2,14,0,0.241,0,0,0.103,0.5764,0,19.756,2.835,-4.650,0.350,0.012,2,14,0,0.166,0,0,0.076,0.6080,0,20.284,-2.988,-4.027,0.973,0.026,2,14,0,0.189,0,0,0.011,0.6239,0,22.697,0.043,-3.697,1.303,0.065,2,14,0,0.195,0,0,0.035,0.6458,0,16.698,-0.163,-4.594,0.406,0.052,2,14,0,0.196,0,0,0.048,0.6130,0,2.823,0.343,0,0,0.241,20.000,0.000,0.000,0.000
146.0,19.994,-0.008,-4.962,0.038,0.057,2,14,0,0.146,0,0,0.085,0.5764,0,19.785,2.873,-4.630,0.370,0.030,2,14,0,0.164,0,0,0.058,0.6080,0,20.254,-2.939,-4.073,0.927,0.018,2,14,0,0.153,0,0,0.053,0.6239,0,22.677,0.114,-3.682,1.318,0.023,2,14,0,0.171,0,0,0.112,0.6458,0,16.802,-0.189,-4.539,0.461,0.044,2,14,0,0.139,0,0,0.069,0.6130,0,2.907,0.342,0,0,0.171,20.000,0.000,0.000,0.000
147.0,20.042,0.014,-5.000,-0.000,0.038,2,14,0,0.227,0,0,0.073,0.5764,0,19.790,2.845,-4.581,0.419,0.034,2,14,0,0.135,0,0,0.041,0.6080,0,20.213,-2.926,-4.060,0.940,0.013,2,14,0,0.149,0,0,0.093,0.6239,0,22.657,0.047,-3.739,1.261,0.034,2,14,0,0.165,0,0,0.065,0.6458,0,16.861,-0.189,-4.554,0.446,0.029,2,14,0,0.199,0,0,0.123,0.6130,0,2.873,0.346,0,0,0.227,20.000,0.000,0.000,0.000
148.0,20.064,0.051,-4.974,0.026,0.039,2,14,0,0.171,0,0,0.064,0.5764,0,19.783,2.891,-4.610,0.390,0.027,2,14,0,0.272,0,0,0.073,0.6080,0,20.297,-2.950,-4.087,0.913,0.044,2,14,0,0.151,0,0,0.029,0.6239,0,22.657,-0.012,-3.773,1.227,0.045,2,14,0,0.162,0,0,0.049,0.6458,0,16.858,-0.120,-4.544,0.456,0.061,2,14,0,0.198,0,0,0.118,0.6130,0,2.858,0.343,0,0,0.272,20.000,0.000,0.000,0.000
149.0,20.051,0.088,-4.993,0.007,0.038,2,14,0,0.172,0,0,0.051,0.5764,0,19.834,2.863,-4.648,0.352,0.051,2,14,0,0.139,0,0,0.027,0.6080,0,20.331,-2.942,-3.980,1.020,0.036,2,14,0,0.154,0,0,0.054,0.6239,0,22.686,-0.038,-3.804,1.196,0.044,2,14,0,0.137,0,0,0.047,0.6458,0,16.727,-0.039,-4.523,0.477,0.082,2,14,0,0.173,0,0,0.113,0.6130,0,2.806,0.336,0,0,0.173,20.000,0.000,0.000,0.000
150.0,20.054,0.091,-5.016,-0.016,0.035,2,14,0,0.221,0,0,0.055,0.5764,0,19.859,2.835,-4.588,0.412,0.037,2,14,0,0.169,0,0,0.028,0.6080,0,20.358,-2.982,-4.011,0.989,0.022,2,14,0,0.220,0,0,0.068,0.6239,0,22.729,-0.087,-3.755,1.245,0.038,2,14,0,0.169,0,0,0.094,0.6458,0,16.669,-0.030,-4.572,0.428,0.050,2,14,0,0.201,0,0,0.142,0.6130,0,2.785,0.358,0,0,0.221,20.000,0.000,0.000,0.000
151.0,20.092,0.069,-5.040,-0.040,0.037,2,14,0,0.145,0,0,0.089,0.5764,0,19.913,2.805,-4.594,0.406,0.017,2,14,0,0.239,0,0,0.086,0.6080,0,20.333,-3.035,-4.038,0.962,0.040,2,14,0,0.182,0,0,0.072,0.6239,0,22.822,-0.038,-3.735,1.265,0.044,2,14,0,0.165,0,0,0.127,0.6458,0,16.633,-0.108,-4.521,0.479,0.061,2,14,0,0.194,0,0,0.119,0.6130,0,2.778,0.382,0,0,0.239,20.000,0.000,0.000,0.000
152.0,20.036,0.080,-4.946,0.054,0.053,2,14,0,0.174,0,0,0.033,0.5764,0,19.941,2.719,-4.591,0.409,0.022,2,14,0,0.209,0,0,0.159,0.6080,0,20.306,-3.025,-4.001,0.999,0.030,2,14,0,0.174,0,0,0.050,0.6239,0,22.771,0.043,-3.740,1.260,0.071,2,14,0,0.270,0,0,0.079,0.6458,0,16.661,-0.176,-4.550,0.450,0.074,2,14,0,0.163,0,0,0.087,0.6130,0,2.665,0.382,0,0,0.270,20.000,0.000,0.000,0.000
153.0,19.987,0.069,-5.026,-0.026,0.047,2,14,0,0.171,0,0,0.017,0.5764,0,19.887,2.752,-4.601,0.399,0.087,2,14,0,0.170,0,0,0.106,0.6080,0,20.277,-3.006,-4.016,0.984,0.029,2,14,0,0.179,0,0,0.030,0.6239,0,22.700,0.110,-3.740,1.260,0.054,2,14,0,0.137,0,0,0.104,0.6458,0,16.701,-0.256,-4.510,0.490,0.077,2,14,0,0.166,0,0,0.115,0.6130,0,2.718,0.394,0,0,0.179,20.000,0.000,0.000,0.000
154.0,19.944,0.069,-4.931,0.069,0.019,2,14,0,0.143,0,0,0.060,0.5764,0,19.754,2.829,-4.662,0.338,0.096,2,14,0,0.196,0,0,0.076,0.6080,0,20.284,-3.054,-4.089,0.911,0.026,2,14,0,0.181,0,0,0.076,0.6239,0,22.675,0.070,-3.713,1.287,0.043,2,14,0,0.138,0,0,0.071,0.6458,0,16.844,-0.214,-4.537,0.463,0.069,2,14,0,0.162,0,0,0.118,0.6130,0,2.780,0.332,0,0,0.196,20.000,0.000,0.000,0.000
155.0,19.927,0.094,-4.958,0.042,0.008,2,14,0,0.173,0,0,0.077,0.5764,0,19.741,2.920,-4.632,0.368,0.053,2,14,0,0.164,0,0,0.122,0.6080,0,20.269,-3.036,-4.037,0.963,0.036,2,14,0,0.198,0,0,0.062,0.6239,0,22.641,-0.017,-3.719,1.281,0.055,2,14,0,0.161,0,0,0.066,0.6458,0,16.907,-0.165,-4.492,0.508,0.043,2,14,0,0.139,0,0,0.163,0.6130,0,2.851,0.359,0,0,0.198,20.000,0.000,0.000,0.000
156.0,19.939,0.118,-5.047,-0.047,0.041,2,14,0,0.176,0,0,0.079,0.5764,0,19.808,2.937,-4.641,0.359,0.034,2,14,0,0.164,0,0,0.103,0.6080,0,20.306,-3.009,-4.047,0.953,0.049,2,14,0,0.172,0,0,0.035,0.6239,0,22.682,-0.038,-3.713,1.287,0.033,2,14,0,0.142,0,0,0.049,0.6458,0,16.933,-0.181,-4.481,0.519,0.066,2,14,0,0.171,0,0,0.191,0.6130,0,2.851,0.320,0,0,0.176,20.000,0.000,0.000,0.000
157.0,20.013,0.059,-4.999,0.001,0.056,2,14,0,0.174,0,0,0.020,0.5764,0,19.854,2.954,-4.606,0.394,0.044,2,14,0,0.164,0,0,0.120,0.6080,0,20.328,-2.910,-4.065,0.935,0.045,2,14,0,0.146,0,0,0.078,0.6239,0,22.765,-0.042,-3.706,1.294,0.035,2,14,0,0.190,0,0,0.076,0.6458,0,16.765,-0.123,-4.521,0.479,0.129,2,14,0,0.163,0,0,0.035,0.6130,0,2.926,0.340,0,0,0.190,20.000,0.000,0.000,0.000
158.0,19.994,0.044,-4.982,0.018,0.026,2,14,0,0.200,0,0,0.032,0.5764,0,19.859,2.910,-4.601,0.399,0.071,2,14,0,0.216,0,0,0.080,0.6080,0,20.293,-2.891,-4.052,0.948,0.015,2,14,0,0.213,0,0,0.087,0.6239,0,22.749,-0.002,-3.738,1.262,0.017,2,14,0,0.178,0,0,0.047,0.6458,0,16.649,-0.173,-4.563,0.437,0.085,2,14,0,0.167,0,0,0.098,0.6130,0,2.894,0.391,0,0,0.216,20.000,0.000,0.000,0.000
159.0,20.026,0.068,-5.041,-0.041,0.026,2,14,0,0.207,0,0,0.023,0.5764,0,19.834,2.804,-4.579,0.421,0.073,2,14,0,0.171,0,0,0.033,0.6080,0,20.262,-2.937,-4.026,0.974,0.041,2,14,0,0.185,0,0,0.049,0.6239,0,22.788,0.020,-3.769,1.231,0.022,2,14,0,0.133,0,0,0.083,0.6458,0,16.588,-0.178,-4.542,0.458,0.014,2,14,0,0.141,0,0,0.159,0.6130,0,2.781,0.449,0,0,0.207,20.000,0.000,0.000,0.000
160.0,20.051,0.103,-5.030,-0.030,0.006,2,14,0,0.172,0,0,0.055,0.5764,0,19.921,2.724,-4.575,0.425,0.031,2,14,0,0.136,0,0,0.144,0.6080,0,20.161,-2.951,-4.050,0.950,0.042,2,14,0,0.176,0,0,0.132,0.6239,0,22.709,0.040,-3.749,1.251,0.052,2,14,0,0.168,0,0,0.036,0.6458,0,16.617,-0.150,-4.506,0.494,0.062,2,14,0,0.162,0,0,0.128,0.6130,0,2.663,0.412,0,0,0.176,20.000,0.000,0.000,0.000
