t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d5_planratio,d5_clipn,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d6_planratio,d6_clipn,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d7_planratio,d7_clipn,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,d8_planratio,d8_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
28.0,0.080,-0.272,-4.956,0.044,0.082,2,14,0,0.191,0,0,0.088,0.0471,0,-0.107,3.146,-5.372,-0.372,0.038,2,14,0,0.184,0,0,0.056,0.0958,0,-0.257,-3.165,-5.310,-0.310,0.021,2,14,0,0.177,0,0,0.126,0.0997,0,3.118,-0.058,-4.820,0.180,0.027,2,14,0,0.147,0,0,0.047,0.0967,0,-2.762,-0.019,-5.710,-0.710,0.015,2,14,0,0.162,0,0,0.078,0.0955,0,3.164,3.115,-5.854,-0.854,0.035,2,14,0,0.174,0,0,0.095,0.0343,0,-2.928,3.048,-5.338,-0.338,0.021,2,14,0,0.152,0,0,0.024,0.0373,0,3.184,-3.114,-5.355,-0.355,0.018,2,14,0,0.179,0,0,0.096,0.0329,0,-2.841,-3.036,-5.331,-0.331,0.066,2,14,0,0.178,0,0,0.065,0.0486,0,2.587,0.306,0,0,0.191,0.000,0.000,0.000,0.000
29.0,0.126,-0.313,-5.038,-0.038,0.047,2,14,0,0.177,0,0,0.108,0.0471,0,-0.065,3.111,-5.384,-0.384,0.034,2,14,0,0.153,0,0,0.023,0.0958,0,-0.273,-3.078,-5.271,-0.271,0.065,2,14,0,0.158,0,0,0.123,0.0997,0,3.130,-0.063,-4.871,0.129,0.021,2,14,0,0.172,0,0,0.058,0.0967,0,-2.697,-0.038,-5.705,-0.705,0.035,2,14,0,0.191,0,0,0.143,0.0955,0,3.156,3.170,-5.757,-0.757,0.053,2,14,0,0.149,0,0,0.091,0.0343,0,-2.965,3.039,-5.281,-0.281,0.002,2,14,0,0.156,0,0,0.060,0.0373,0,3.112,-3.093,-5.406,-0.406,0.058,2,14,0,0.179,0,0,0.028,0.0329,0,-2.871,-3.051,-5.336,-0.336,0.048,2,14,0,0.145,0,0,0.070,0.0486,0,2.599,0.337,0,0,0.191,0.000,0.000,0.000,0.000
30.0,0.173,-0.319,-5.034,-0.034,0.038,2,14,0,0.154,0,0,0.154,0.0471,0,-0.026,3.132,-5.316,-0.316,0.039,2,14,0,0.302,0,0,0.026,0.0958,0,-0.384,-3.053,-5.266,-0.266,0.086,2,14,0,0.182,0,0,0.083,0.0997,0,3.121,-0.032,-4.818,0.182,0.028,2,14,0,0.202,0,0,0.063,0.0967,0,-2.731,-0.047,-5.681,-0.681,0.076,2,14,0,0.221,0,0,0.113,0.0955,0,3.120,3.178,-5.737,-0.737,0.058,2,14,0,0.219,0,0,0.063,0.0343,0,-2.914,3.038,-5.325,-0.325,0.020,2,14,0,0.148,0,0,0.027,0.0373,0,3.010,-3.047,-5.413,-0.413,0.052,2,14,0,0.206,0,0,0.091,0.0329,0,-2.886,-3.106,-5.389,-0.389,0.048,2,14,0,0.177,0,0,0.069,0.0486,0,2.506,0.388,0,0,0.302,0.000,0.000,0.000,0.000
31.0,0.116,-0.337,-5.036,-0.036,0.086,2,14,0,0.184,0,0,0.097,0.0471,0,0.020,3.149,-5.407,-0.407,0.007,2,14,0,0.145,0,0,0.075,0.0958,0,-0.472,-3.038,-5.229,-0.229,0.066,2,14,0,0.153,0,0,0.132,0.0997,0,3.050,0.040,-4.841,0.159,0.036,2,14,0,0.179,0,0,0.117,0.0967,0,-2.849,0.009,-5.720,-0.720,0.087,2,14,0,0.195,0,0,0.038,0.0955,0,3.037,3.212,-5.769,-0.769,0.059,2,14,0,0.147,0,0,0.083,0.0343,0,-2.875,3.066,-5.363,-0.363,0.025,2,14,0,0.154,0,0,0.035,0.0373,0,3.048,-3.059,-5.375,-0.375,0.020,2,14,0,0.148,0,0,0.053,0.0329,0,-2.907,-3.170,-5.367,-0.367,0.037,2,14,0,0.145,0,0,0.115,0.0486,0,2.442,0.474,0,0,0.195,0.000,0.000,0.000,0.000
32.0,0.019,-0.350,-5.019,-0.019,0.091,2,14,0,0.186,0,0,0.014,0.0471,0,-0.017,3.125,-5.421,-0.421,0.030,2,14,0,0.172,0,0,0.036,0.0958,0,-0.541,-3.089,-5.244,-0.244,0.065,2,14,0,0.181,0,0,0.168,0.0997,0,3.037,-0.001,-4.849,0.151,0.050,2,14,0,0.179,0,0,0.082,0.0967,0,-2.985,-0.009,-5.696,-0.696,0.059,2,14,0,0.185,0,0,0.144,0.0955,0,2.965,3.137,-5.738,-0.738,0.047,2,14,0,0.148,0,0,0.106,0.0343,0,-2.867,3.099,-5.368,-0.368,0.013,2,14,0,0.153,0,0,0.055,0.0373,0,3.083,-3.034,-5.369,-0.369,0.028,2,14,0,0.204,0,0,0.038,0.0329,0,-2.906,-3.215,-5.398,-0.398,0.046,2,14,0,0.167,0,0,0.147,0.0486,0,2.373,0.548,0,0,0.204,0.000,0.000,0.000,0.000
33.0,-0.121,-0.348,-4.978,0.022,0.062,2,14,0,0.180,0,0,0.140,0.0471,0,-0.048,3.156,-5.376,-0.376,0.038,2,14,0,0.178,0,0,0.024,0.0958,0,-0.511,-3.170,-5.246,-0.246,0.092,2,14,0,0.175,0,0,0.136,0.0997,0,2.953,-0.111,-4.835,0.165,0.071,2,14,0,0.177,0,0,0.125,0.0967,0,-3.058,-0.045,-5.722,-0.722,0.035,2,14,0,0.220,0,0,0.219,0.0955,0,2.973,3.093,-5.762,-0.762,0.047,2,14,0,0.172,0,0,0.108,0.0343,0,-2.853,3.061,-5.322,-0.322,0.025,2,14,0,0.193,0,0,0.059,0.0373,0,3.152,-3.047,-5.342,-0.342,0.030,2,14,0,0.177,0,0,0.056,0.0329,0,-2.826,-3.207,-5.398,-0.398,0.086,2,14,0,0.204,0,0,0.111,0.0486,0,2.319,0.539,0,0,0.220,0.000,0.000,0.000,0.000
34.0,-0.167,-0.388,-4.970,0.030,0.015,2,14,0,0.190,0,0,0.194,0.0471,0,-0.104,3.167,-5.347,-0.347,0.027,2,14,0,0.170,0,0,0.062,0.0958,0,-0.381,-3.206,-5.278,-0.278,0.104,2,14,0,0.173,0,0,0.070,0.0997,0,3.002,-0.177,-4.871,0.129,0.055,2,14,0,0.178,0,0,0.125,0.0967,0,-2.990,-0.093,-5.681,-0.681,0.095,2,14,0,0.194,0,0,0.165,0.0955,0,2.928,3.080,-5.728,-0.728,0.041,2,14,0,0.149,0,0,0.154,0.0343,0,-2.879,3.066,-5.274,-0.274,0.024,2,14,0,0.175,0,0,0.031,0.0373,0,3.196,-3.078,-5.361,-0.361,0.023,2,14,0,0.209,0,0,0.097,0.0329,0,-2.699,-3.147,-5.400,-0.400,0.085,2,14,0,0.152,0,0,0.129,0.0486,0,2.322,0.433,0,0,0.209,0.000,0.000,0.000,0.000
35.0,-0.161,-0.356,-4.989,0.011,0.079,2,14,0,0.227,0,0,0.182,0.0471,0,-0.148,3.125,-5.392,-0.392,0.025,2,14,0,0.148,0,0,0.095,0.0958,0,-0.281,-3.185,-5.372,-0.372,0.061,2,14,0,0.181,0,0,0.110,0.0997,0,3.104,-0.165,-4.808,0.192,0.060,2,14,0,0.174,0,0,0.095,0.0967,0,-2.863,-0.064,-5.678,-0.678,0.120,2,14,0,0.196,0,0,0.043,0.0955,0,3.012,3.099,-5.706,-0.706,0.091,2,14,0,0.173,0,0,0.071,0.0343,0,-2.834,3.071,-5.236,-0.236,0.022,2,14,0,0.208,0,0,0.075,0.0373,0,3.057,-3.134,-5.405,-0.405,0.055,2,14,0,0.173,0,0,0.078,0.0329,0,-2.711,-3.097,-5.368,-0.368,0.071,2,14,0,0.180,0,0,0.106,0.0486,0,2.432,0.391,0,0,0.227,0.000,0.000,0.000,0.000
36.0,-0.047,-0.297,-4.996,0.004,0.126,2,14,0,0.187,0,0,0.078,0.0471,0,-0.140,3.161,-5.383,-0.383,0.043,2,14,0,0.174,0,0,0.091,0.0958,0,-0.275,-3.166,-5.251,-0.251,0.030,2,14,0,0.211,0,0,0.109,0.0997,0,3.147,-0.119,-4.822,0.178,0.055,2,14,0,0.174,0,0,0.087,0.0967,0,-2.738,-0.089,-5.676,-0.676,0.089,2,14,0,0.187,0,0,0.117,0.0955,0,3.102,3.100,-5.806,-0.806,0.081,2,14,0,0.145,0,0,0.047,0.0343,0,-2.938,3.047,-5.293,-0.293,0.054,2,14,0,0.212,0,0,0.032,0.0373,0,3.045,-3.112,-5.378,-0.378,0.019,2,14,0,0.185,0,0,0.070,0.0329,0,-2.791,-3.024,-5.355,-0.355,0.070,2,14,0,0.151,0,0,0.077,0.0486,0,2.522,0.321,0,0,0.212,0.000,0.000,0.000,0.000
37.0,0.156,-0.305,-4.994,0.006,0.122,2,14,0,0.211,0,0,0.137,0.0471,0,-0.055,3.179,-5.363,-0.363,0.076,2,14,0,0.179,0,0,0.048,0.0958,0,-0.317,-3.094,-5.262,-0.262,0.061,2,14,0,0.180,0,0,0.076,0.0997,0,3.117,-0.056,-4.848,0.152,0.062,2,14,0,0.173,0,0,0.048,0.0967,0,-2.666,-0.062,-5.691,-0.691,0.048,2,14,0,0.163,0,0,0.176,0.0955,0,3.142,3.161,-5.809,-0.809,0.041,2,14,0,0.192,0,0,0.074,0.0343,0,-3.086,3.085,-5.317,-0.317,0.027,2,14,0,0.176,0,0,0.174,0.0373,0,3.065,-3.064,-5.333,-0.333,0.033,2,14,0,0.146,0,0,0.035,0.0329,0,-2.830,-2.988,-5.310,-0.310,0.033,2,14,0,0.178,0,0,0.109,0.0486,0,2.516,0.343,0,0,0.211,0.000,0.000,0.000,0.000
38.0,0.213,-0.343,-5.020,-0.020,0.021,2,14,0,0.189,0,0,0.194,0.0471,0,0.078,3.151,-5.356,-0.356,0.046,2,14,0,0.145,0,0,0.132,0.0958,0,-0.414,-3.076,-5.308,-0.308,0.061,2,14,0,0.160,0,0,0.069,0.0997,0,3.116,-0.039,-4.832,0.168,0.038,2,14,0,0.173,0,0,0.055,0.0967,0,-2.695,-0.015,-5.674,-0.674,0.084,2,14,0,0.180,0,0,0.149,0.0955,0,3.170,3.202,-5.765,-0.765,0.019,2,14,0,0.180,0,0,0.118,0.0343,0,-3.057,3.066,-5.375,-0.375,0.070,2,14,0,0.184,0,0,0.148,0.0373,0,3.088,-3.093,-5.332,-0.332,0.037,2,14,0,0.270,0,0,0.028,0.0329,0,-2.863,-2.981,-5.357,-0.357,0.048,2,14,0,0.172,0,0,0.125,0.0486,0,2.452,0.420,0,0,0.270,0.000,0.000,0.000,0.000
39.0,0.131,-0.351,-5.004,-0.004,0.071,2,14,0,0.182,0,0,0.112,0.0471,0,0.047,3.079,-5.374,-0.374,0.043,2,14,0,0.144,0,0,0.114,0.0958,0,-0.466,-3.089,-5.275,-0.275,0.028,2,14,0,0.192,0,0,0.098,0.0997,0,3.096,-0.037,-4.805,0.195,0.034,2,14,0,0.223,0,0,0.044,0.0967,0,-2.809,0.027,-5.638,-0.638,0.103,2,14,0,0.192,0,0,0.063,0.0955,0,3.134,3.185,-5.793,-0.793,0.051,2,14,0,0.201,0,0,0.080,0.0343,0,-2.990,3.098,-5.353,-0.353,0.097,2,14,0,0.177,0,0,0.086,0.0373,0,3.191,-3.129,-5.357,-0.357,0.034,2,14,0,0.179,0,0,0.109,0.0329,0,-2.898,-3.007,-5.344,-0.344,0.068,2,14,0,0.246,0,0,0.120,0.0486,0,2.434,0.475,0,0,0.246,0.000,0.000,0.000,0.000
40.0,0.089,-0.335,-5.014,-0.014,0.091,2,14,0,0.176,0,0,0.069,0.0471,0,0.112,3.067,-5.357,-0.357,0.047,2,14,0,0.171,0,0,0.177,0.0958,0,-0.376,-3.099,-5.305,-0.305,0.046,2,14,0,0.175,0,0,0.037,0.0997,0,3.040,-0.053,-4.769,0.231,0.024,2,14,0,0.152,0,0,0.039,0.0967,0,-2.952,0.023,-5.688,-0.688,0.079,2,14,0,0.152,0,0,0.121,0.0955,0,3.102,3.187,-5.839,-0.839,0.058,2,14,0,0.472,0,0,0.059,0.0343,0,-2.843,3.071,-5.359,-0.359,0.097,2,14,0,0.231,0,0,0.066,0.0373,0,3.169,-3.057,-5.370,-0.370,0.050,2,14,0,0.216,0,0,0.071,0.0329,0,-2.881,-3.096,-5.357,-0.357,0.091,2,14,0,0.172,0,0,0.064,0.0486,0,2.505,0.389,0,0,0.472,0.000,0.000,0.000,0.000
41.0,-0.012,-0.312,-5.054,-0.054,0.089,2,14,0,0.151,0,0,0.040,0.0471,0,0.015,3.058,-5.393,-0.393,0.106,2,14,0,0.172,0,0,0.103,0.0958,0,-0.318,-3.174,-5.335,-0.335,0.045,2,14,0,0.178,0,0,0.072,0.0997,0,3.047,-0.103,-4.838,0.162,0.018,2,14,0,0.300,0,0,0.039,0.0967,0,-2.927,-0.022,-5.711,-0.711,0.030,2,14,0,0.163,0,0,0.087,0.0955,0,3.072,3.169,-5.789,-0.789,0.051,2,14,0,0.186,0,0,0.033,0.0343,0,-2.730,3.030,-5.351,-0.351,0.035,2,14,0,0.150,0,0,0.184,0.0373,0,3.076,-3.037,-5.384,-0.384,0.049,2,14,0,0.165,0,0,0.039,0.0329,0,-2.829,-3.143,-5.400,-0.400,0.066,2,14,0,0.145,0,0,0.048,0.0486,0,2.512,0.362,0,0,0.300,0.000,0.000,0.000,0.000
42.0,0.070,-0.376,-4.987,0.013,0.040,2,14,0,0.180,0,0,0.064,0.0471,0,-0.149,3.121,-5.374,-0.374,0.110,2,14,0,0.172,0,0,0.094,0.0958,0,-0.393,-3.188,-5.271,-0.271,0.026,2,14,0,0.148,0,0,0.052,0.0997,0,3.048,-0.128,-4.900,0.100,0.006,2,14,0,0.176,0,0,0.059,0.0967,0,-2.918,-0.025,-5.761,-0.761,0.043,2,14,0,0.176,0,0,0.078,0.0955,0,3.099,3.096,-5.802,-0.802,0.051,2,14,0,0.156,0,0,0.048,0.0343,0,-2.729,3.085,-5.320,-0.320,0.051,2,14,0,0.188,0,0,0.183,0.0373,0,3.055,-3.035,-5.364,-0.364,0.007,2,14,0,0.178,0,0,0.057,0.0329,0,-2.816,-3.141,-5.415,-0.415,0.040,2,14,0,0.145,0,0,0.044,0.0486,0,2.428,0.435,0,0,0.188,0.000,0.000,0.000,0.000
