t_wall,drone,x,y,z,vx,vy,vz,vcmd_x,vcmd_y,vcmd_z,cmd_is_pos,cmd_age_s
1783579594.5243,3,0.1441,-0.0969,-0.4507,0.0334,0.1141,-1.0762,0.0002,0.0828,-1.5000,0,0.0121
1783579594.5246,0,-0.0198,-0.0494,-1.2653,0.0548,0.0743,-0.9950,0.0357,0.0559,-1.5000,0,0.0024
1783579594.5283,2,-0.0584,-0.1522,-0.1637,-0.0119,0.0883,-1.0225,nan,nan,nan,0,1783579594.5283
1783579594.5284,4,-0.1432,0.2175,-0.1007,0.0567,0.0587,-1.0381,0.0208,0.0373,-1.5000,0,0.0031
1783579594.5285,1,-0.0440,0.1991,-0.2783,-0.0410,0.1045,-1.0328,-0.0569,0.0611,-1.5000,0,0.0127
1783579594.5322,0,-0.0195,-0.0487,-1.2730,0.0546,0.0755,-0.9974,0.0357,0.0559,-1.5000,0,0.0101
1783579594.5323,3,0.1453,-0.0957,-0.4602,0.0334,0.1154,-1.0771,-0.0004,0.0840,-1.5000,0,0.0002
1783579594.5362,4,-0.1424,0.2179,-0.1086,0.0565,0.0590,-1.0405,0.0208,0.0373,-1.5000,0,0.0109
1783579594.5363,1,-0.0440,0.2001,-0.2862,-0.0408,0.1053,-1.0343,-0.0565,0.0618,-1.5000,0,0.0005
1783579594.5363,2,-0.0592,-0.1515,-0.1721,-0.0125,0.0894,-1.0238,nan,nan,nan,0,1783579594.5363
1783579594.5403,0,-0.0192,-0.0479,-1.2807,0.0543,0.0767,-0.9998,0.0357,0.0559,-1.5000,0,0.0181
1783579594.5403,3,0.1465,-0.0944,-0.4698,0.0335,0.1166,-1.0779,-0.0004,0.0840,-1.5000,0,0.0082
1783579594.5443,2,-0.0600,-0.1507,-0.1804,-0.0131,0.0905,-1.0251,nan,nan,nan,0,1783579594.5443
1783579594.5445,1,-0.0439,0.2011,-0.2942,-0.0405,0.1060,-1.0358,-0.0565,0.0618,-1.5000,0,0.0088
1783579594.5446,4,-0.1415,0.2182,-0.1165,0.0564,0.0594,-1.0428,0.0208,0.0373,-1.5000,0,0.0192
1783579594.5483,3,0.1477,-0.0932,-0.4793,0.0335,0.1178,-1.0786,-0.0004,0.0840,-1.5000,0,0.0163
1783579594.5485,0,-0.0188,-0.0471,-1.2884,0.0541,0.0779,-1.0021,0.0352,0.0574,-1.5000,0,0.0067
1783579594.5522,2,-0.0612,-0.1498,-0.1897,-0.0138,0.0915,-1.0267,nan,nan,nan,0,1783579594.5522
1783579594.5524,1,-0.0439,0.2022,-0.3021,-0.0402,0.1067,-1.0373,-0.0565,0.0618,-1.5000,0,0.0166
1783579594.5524,4,-0.1407,0.2186,-0.1244,0.0562,0.0597,-1.0451,0.0201,0.0377,-1.5000,0,0.0069
1783579594.5563,0,-0.0185,-0.0464,-1.2962,0.0539,0.0790,-1.0043,0.0352,0.0574,-1.5000,0,0.0145
1783579594.5565,3,0.1488,-0.0919,-0.4888,0.0335,0.1189,-1.0793,-0.0014,0.0856,-1.5000,0,0.0047
1783579594.5603,2,-0.0625,-0.1489,-0.1990,-0.0146,0.0924,-1.0282,nan,nan,nan,0,1783579594.5603
1783579594.5604,1,-0.0439,0.2032,-0.3101,-0.0400,0.1074,-1.0388,-0.0559,0.0625,-1.5000,0,0.0044
1783579594.5605,4,-0.1399,0.2189,-0.1324,0.0561,0.0600,-1.0473,0.0201,0.0377,-1.5000,0,0.0150
1783579594.5643,3,0.1499,-0.0907,-0.4983,0.0335,0.1200,-1.0798,-0.0014,0.0856,-1.5000,0,0.0125
1783579594.5644,0,-0.0181,-0.0456,-1.3040,0.0536,0.0800,-1.0065,0.0344,0.0592,-1.5000,0,0.0017
1783579594.5687,1,-0.0438,0.2042,-0.3181,-0.0397,0.1080,-1.0402,-0.0559,0.0625,-1.5000,0,0.0126
1783579594.5687,2,-0.0637,-0.1480,-0.2082,-0.0153,0.0933,-1.0297,nan,nan,nan,0,1783579594.5687
1783579594.5688,4,-0.1390,0.2193,-0.1404,0.0559,0.0603,-1.0495,0.0190,0.0381,-1.5000,0,0.0031
1783579594.5725,0,-0.0178,-0.0448,-1.3118,0.0534,0.0811,-1.0087,0.0344,0.0592,-1.5000,0,0.0098
1783579594.5727,3,0.1510,-0.0894,-0.5078,0.0335,0.1210,-1.0804,-0.0021,0.0866,-1.5000,0,0.0000
1783579594.5765,2,-0.0649,-0.1471,-0.2174,-0.0160,0.0942,-1.0311,nan,nan,nan,0,1783579594.5765
1783579594.5766,1,-0.0438,0.2053,-0.3261,-0.0395,0.1086,-1.0416,-0.0555,0.0629,-1.5000,0,0.0008
1783579594.5767,4,-0.1382,0.2197,-0.1484,0.0557,0.0605,-1.0516,0.0190,0.0381,-1.5000,0,0.0110
1783579594.5805,0,-0.0175,-0.0440,-1.3197,0.0532,0.0820,-1.0108,0.0344,0.0592,-1.5000,0,0.0178
1783579594.5806,3,0.1520,-0.0882,-0.5172,0.0335,0.1221,-1.0808,-0.0021,0.0866,-1.5000,0,0.0079
1783579594.5845,1,-0.0438,0.2063,-0.3341,-0.0393,0.1091,-1.0431,-0.0555,0.0629,-1.5000,0,0.0087
1783579594.5846,4,-0.1374,0.2200,-0.1564,0.0555,0.0608,-1.0536,0.0190,0.0381,-1.5000,0,0.0189
1783579594.5847,2,-0.0661,-0.1462,-0.2266,-0.0166,0.0950,-1.0324,nan,nan,nan,0,1783579594.5847
1783579594.5885,0,-0.0171,-0.0432,-1.3275,0.0530,0.0830,-1.0129,0.0340,0.0603,-1.5000,0,0.0064
1783579594.5887,3,0.1531,-0.0869,-0.5267,0.0334,0.1230,-1.0812,-0.0021,0.0866,-1.5000,0,0.0160
1783579594.5925,2,-0.0672,-0.1453,-0.2358,-0.0173,0.0958,-1.0337,-0.0263,0.0635,-1.5000,0,0.0075
1783579594.5926,1,-0.0439,0.2074,-0.3423,-0.0394,0.1097,-1.0445,-0.0555,0.0629,-1.5000,0,0.0168
1783579594.5926,4,-0.1363,0.2204,-0.1649,0.0556,0.0612,-1.0557,0.0183,0.0383,-1.5000,0,0.0063
1783579594.5964,0,-0.0168,-0.0424,-1.3354,0.0528,0.0839,-1.0149,0.0340,0.0603,-1.5000,0,0.0143
1783579594.5970,3,0.1541,-0.0856,-0.5361,0.0334,0.1239,-1.0816,-0.0031,0.0877,-1.5000,0,0.0051
1783579594.6011,2,-0.0684,-0.1444,-0.2450,-0.0179,0.0965,-1.0349,-0.0263,0.0635,-1.5000,0,0.0161
1783579594.6011,4,-0.1352,0.2208,-0.1734,0.0556,0.0617,-1.0577,0.0183,0.0383,-1.5000,0,0.0147
1783579594.6012,1,-0.0441,0.2084,-0.3505,-0.0396,0.1103,-1.0459,-0.0553,0.0632,-1.5000,0,0.0051
1783579594.6052,0,-0.0164,-0.0416,-1.3433,0.0526,0.0847,-1.0169,0.0332,0.0617,-1.5000,0,0.0043
1783579594.6052,3,0.1551,-0.0844,-0.5455,0.0333,0.1248,-1.0819,-0.0031,0.0877,-1.5000,0,0.0133
1783579594.6091,1,-0.0442,0.2095,-0.3588,-0.0398,0.1109,-1.0473,-0.0553,0.0632,-1.5000,0,0.0130
1783579594.6093,4,-0.1341,0.2212,-0.1819,0.0557,0.0621,-1.0597,0.0173,0.0388,-1.5000,0,0.0044
1783579594.6095,2,-0.0695,-0.1435,-0.2542,-0.0185,0.0972,-1.0360,-0.0268,0.0644,-1.5000,0,0.0032
1783579594.6131,0,-0.0161,-0.0408,-1.3512,0.0524,0.0855,-1.0189,0.0332,0.0617,-1.5000,0,0.0122
1783579594.6133,3,0.1561,-0.0831,-0.5549,0.0333,0.1256,-1.0821,-0.0037,0.0883,-1.5000,0,0.0015
1783579594.6173,4,-0.1330,0.2216,-0.1904,0.0557,0.0626,-1.0616,0.0173,0.0388,-1.5000,0,0.0124
1783579594.6174,1,-0.0443,0.2106,-0.3670,-0.0400,0.1114,-1.0486,-0.0555,0.0635,-1.5000,0,0.0012
1783579594.6180,2,-0.0706,-0.1425,-0.2633,-0.0191,0.0979,-1.0370,-0.0268,0.0644,-1.5000,0,0.0117
1783579594.6213,0,-0.0158,-0.0400,-1.3592,0.0522,0.0863,-1.0208,0.0332,0.0617,-1.5000,0,0.0204
1783579594.6214,3,0.1571,-0.0818,-0.5643,0.0332,0.1264,-1.0823,-0.0037,0.0883,-1.5000,0,0.0096
1783579594.6251,4,-0.1319,0.2220,-0.1989,0.0557,0.0630,-1.0634,0.0167,0.0393,-1.5000,0,0.0002
1783579594.6252,1,-0.0445,0.2117,-0.3752,-0.0403,0.1119,-1.0500,-0.0555,0.0635,-1.5000,0,0.0090
1783579594.6253,2,-0.0717,-0.1416,-0.2725,-0.0197,0.0986,-1.0379,-0.0268,0.0644,-1.5000,0,0.0190
1783579594.6292,3,0.1583,-0.0801,-0.5753,0.0332,0.1277,-1.0829,-0.0037,0.0883,-1.5000,0,0.0174
1783579594.6293,0,-0.0153,-0.0395,-1.3674,0.0521,0.0867,-1.0226,0.0328,0.0625,-1.5000,0,0.0064
1783579594.6330,2,-0.0727,-0.1407,-0.2816,-0.0203,0.0992,-1.0388,-0.0270,0.0649,-1.5000,0,0.0077
1783579594.6331,4,-0.1308,0.2224,-0.2075,0.0557,0.0634,-1.0652,0.0167,0.0393,-1.5000,0,0.0082
1783579594.6332,1,-0.0446,0.2127,-0.3835,-0.0405,0.1123,-1.0513,-0.0555,0.0635,-1.5000,0,0.0170
1783579594.6372,3,0.1596,-0.0784,-0.5863,0.0332,0.1290,-1.0835,-0.0048,0.0892,-1.5000,0,0.0053
1783579594.6376,0,-0.0149,-0.0391,-1.3756,0.0520,0.0869,-1.0245,0.0328,0.0625,-1.5000,0,0.0147
1783579594.6412,4,-0.1298,0.2228,-0.2160,0.0558,0.0637,-1.0669,0.0167,0.0393,-1.5000,0,0.0163
1783579594.6413,1,-0.0448,0.2138,-0.3918,-0.0407,0.1127,-1.0526,-0.0559,0.0636,-1.5000,0,0.0054
1783579594.6413,2,-0.0738,-0.1398,-0.2907,-0.0208,0.0997,-1.0396,-0.0270,0.0649,-1.5000,0,0.0160
1783579594.6452,0,-0.0145,-0.0386,-1.3839,0.0519,0.0872,-1.0263,0.0322,0.0631,-1.5000,0,0.0032
1783579594.6453,3,0.1608,-0.0767,-0.5973,0.0332,0.1302,-1.0840,-0.0048,0.0892,-1.5000,0,0.0134
1783579594.6493,1,-0.0449,0.2149,-0.4000,-0.0410,0.1131,-1.0538,-0.0559,0.0636,-1.5000,0,0.0134
1783579594.6493,2,-0.0748,-0.1389,-0.2998,-0.0213,0.1002,-1.0403,-0.0273,0.0655,-1.5000,0,0.0039
1783579594.6494,4,-0.1288,0.2232,-0.2246,0.0557,0.0641,-1.0685,0.0158,0.0398,-1.5000,0,0.0046
1783579594.6531,0,-0.0140,-0.0381,-1.3922,0.0518,0.0874,-1.0280,0.0322,0.0631,-1.5000,0,0.0111
1783579594.6533,3,0.1620,-0.0750,-0.6081,0.0331,0.1314,-1.0845,-0.0056,0.0901,-1.5000,0,0.0016
1783579594.6575,1,-0.0451,0.2159,-0.4083,-0.0413,0.1135,-1.0551,-0.0562,0.0636,-1.5000,0,0.0019
1783579594.6576,4,-0.1277,0.2237,-0.2332,0.0557,0.0644,-1.0701,0.0158,0.0398,-1.5000,0,0.0128
1783579594.6577,2,-0.0758,-0.1380,-0.3088,-0.0218,0.1007,-1.0410,-0.0273,0.0655,-1.5000,0,0.0123
1783579594.6613,0,-0.0136,-0.0376,-1.4004,0.0517,0.0875,-1.0297,0.0319,0.0632,-1.5000,0,0.0000
