t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
92.0,0.013,0.046,-4.991,0.009,0.009,2,14,0,0.139,0,0,0.031,-2.938,0.006,-5.300,-0.300,0.018,2,14,0,0.175,0,0,0.035,2.967,0.062,0,0,0.175,0.000,0.000,0.000,0.000
93.0,0.045,0.053,-4.971,0.029,0.014,2,14,0,0.167,0,0,0.038,-2.923,0.037,-5.333,-0.333,0.005,2,14,0,0.148,0,0,0.024,2.991,0.085,0,0,0.167,0.000,0.000,0.000,0.000
94.0,0.078,0.034,-4.948,0.052,0.014,2,14,0,0.142,0,0,0.051,-2.924,0.028,-5.266,-0.266,0.011,2,14,0,0.147,0,0,0.020,3.019,0.085,0,0,0.147,0.000,0.000,0.000,0.000
95.0,0.053,-0.013,-4.964,0.036,0.032,2,14,0,0.217,0,0,0.040,-2.987,0.027,-5.250,-0.250,0.014,2,14,0,0.176,0,0,0.081,3.053,0.054,0,0,0.217,0.000,0.000,0.000,0.000
96.0,-0.033,-0.017,-4.970,0.030,0.032,2,14,0,0.209,0,0,0.071,-2.958,0.024,-5.281,-0.281,0.041,2,14,0,0.150,0,0,0.053,2.942,0.048,0,0,0.209,0.000,0.000,0.000,0.000
97.0,-0.071,0.001,-5.049,-0.049,0.012,2,14,0,0.143,0,0,0.102,-2.885,0.022,-5.338,-0.338,0.044,2,14,0,0.145,0,0,0.020,2.829,0.117,0,0,0.145,0.000,0.000,0.000,0.000
98.0,-0.078,-0.004,-5.083,-0.083,0.046,2,14,0,0.165,0,0,0.109,-2.780,0.017,-5.306,-0.306,0.020,2,14,0,0.167,0,0,0.126,2.711,0.221,0,0,0.167,0.000,0.000,0.000,0.000
99.0,0.039,-0.049,-5.006,-0.006,0.080,2,14,0,0.164,0,0,0.069,-2.817,-0.024,-5.302,-0.302,0.041,2,14,0,0.144,0,0,0.099,2.872,0.184,0,0,0.164,0.000,0.000,0.000,0.000
100.0,0.146,-0.001,-4.984,0.016,0.061,2,14,0,0.163,0,0,0.119,-2.912,-0.031,-5.313,-0.313,0.069,2,14,0,0.168,0,0,0.054,3.077,0.146,0,0,0.168,0.000,0.000,0.000,0.000
101.0,0.219,0.053,-4.946,0.054,0.025,2,14,0,0.139,0,0,0.192,-2.964,0.027,-5.327,-0.327,0.043,2,14,0,0.167,0,0,0.059,3.206,0.226,0,0,0.167,0.000,0.000,0.000,0.000
