t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
16.0,0.306,0.112,-4.971,0.029,0.020,2,14,0,0.121,0,0,0.041,nan,0.325,0,0,0.121,0.000,0.000,0.000,0.000
17.0,0.278,0.109,-5.026,-0.026,0.016,2,14,0,0.140,0,0,0.066,nan,0.299,0,0,0.140,0.000,0.000,0.000,0.000
18.0,0.346,0.114,-4.957,0.043,0.058,2,14,0,0.144,0,0,0.023,nan,0.364,0,0,0.144,0.000,0.000,0.000,0.000
19.0,0.353,0.149,-5.012,-0.012,0.022,2,14,0,0.121,0,0,0.020,nan,0.383,0,0,0.121,0.000,0.000,0.000,0.000
20.0,0.327,0.172,-5.016,-0.016,0.012,2,14,0,0.140,0,0,0.037,nan,0.369,0,0,0.140,0.000,0.000,0.000,0.000
21.0,0.382,0.156,-4.999,0.001,0.020,2,14,0,0.129,0,0,0.048,nan,0.412,0,0,0.129,0.000,0.000,0.000,0.000
22.0,0.401,0.135,-5.004,-0.004,0.020,2,14,0,0.150,0,0,0.063,nan,0.423,0,0,0.150,0.000,0.000,0.000,0.000
23.0,0.328,0.099,-5.009,-0.009,0.034,2,14,0,0.145,0,0,0.038,nan,0.343,0,0,0.145,0.000,0.000,0.000,0.000
24.0,0.364,0.129,-5.057,-0.057,0.010,2,14,0,0.127,0,0,0.026,nan,0.386,0,0,0.127,0.000,0.000,0.000,0.000
25.0,0.324,0.138,-5.036,-0.036,0.028,2,14,0,0.149,0,0,0.013,nan,0.352,0,0,0.149,0.000,0.000,0.000,0.000
26.0,0.259,0.123,-4.970,0.030,0.016,2,14,0,0.127,0,0,0.079,nan,0.287,0,0,0.127,0.000,0.000,0.000,0.000
27.0,0.260,0.116,-4.996,0.004,0.027,2,14,0,0.149,0,0,0.081,nan,0.285,0,0,0.149,0.000,0.000,0.000,0.000
28.0,0.319,0.104,-5.001,-0.001,0.041,2,14,0,0.156,0,0,0.038,nan,0.336,0,0,0.156,0.000,0.000,0.000,0.000
29.0,0.304,0.121,-5.052,-0.052,0.042,2,14,0,0.134,0,0,0.038,nan,0.327,0,0,0.134,0.000,0.000,0.000,0.000
30.0,0.447,0.172,-4.949,0.051,0.052,2,14,0,0.156,0,0,0.113,nan,0.479,0,0,0.156,0.000,0.000,0.000,0.000
31.0,0.455,0.152,-4.963,0.037,0.019,2,14,0,0.133,0,0,0.118,nan,0.479,0,0,0.133,0.000,0.000,0.000,0.000
32.0,0.382,0.180,-4.995,0.005,0.061,2,14,0,0.133,0,0,0.063,nan,0.423,0,0,0.133,0.000,0.000,0.000,0.000
33.0,0.315,0.167,-4.995,0.005,0.057,2,14,0,0.146,0,0,0.038,nan,0.356,0,0,0.146,0.000,0.000,0.000,0.000
34.0,0.230,0.204,-5.041,-0.041,0.026,2,14,0,0.125,0,0,0.127,nan,0.308,0,0,0.125,0.000,0.000,0.000,0.000
35.0,0.213,0.170,-4.985,0.015,0.044,2,14,0,0.120,0,0,0.129,nan,0.273,0,0,0.120,0.000,0.000,0.000,0.000
36.0,0.319,0.137,-5.014,-0.014,0.085,2,14,0,0.149,0,0,0.021,nan,0.347,0,0,0.149,0.000,0.000,0.000,0.000
37.0,0.389,0.113,-4.965,0.035,0.059,2,14,0,0.120,0,0,0.055,nan,0.405,0,0,0.120,0.000,0.000,0.000,0.000
38.0,0.376,0.022,-4.993,0.007,0.019,2,14,0,0.125,0,0,0.120,nan,0.377,0,0,0.125,0.000,0.000,0.000,0.000
39.0,0.369,0.059,-5.039,-0.039,0.040,2,14,0,0.153,0,0,0.084,nan,0.374,0,0,0.153,0.000,0.000,0.000,0.000
40.0,0.339,0.138,-4.951,0.049,0.057,2,14,0,0.211,0,0,0.001,nan,0.365,0,0,0.211,0.000,0.000,0.000,0.000
41.0,0.353,0.119,-4.903,0.097,0.027,2,14,0,0.128,0,0,0.023,nan,0.373,0,0,0.128,0.000,0.000,0.000,0.000
42.0,0.329,0.151,-5.001,-0.001,0.030,2,14,0,0.147,0,0,0.017,nan,0.363,0,0,0.147,0.000,0.000,0.000,0.000
43.0,0.327,0.167,-5.012,-0.012,0.013,2,14,0,0.119,0,0,0.033,nan,0.367,0,0,0.119,0.000,0.000,0.000,0.000
44.0,0.440,0.139,-4.992,0.008,0.015,2,14,0,0.159,0,0,0.101,nan,0.461,0,0,0.159,0.000,0.000,0.000,0.000
45.0,0.418,0.160,-4.978,0.022,0.039,2,14,0,0.155,0,0,0.084,nan,0.447,0,0,0.155,0.000,0.000,0.000,0.000
46.0,0.290,0.137,-5.024,-0.024,0.060,2,14,0,0.161,0,0,0.047,nan,0.321,0,0,0.161,0.000,0.000,0.000,0.000
47.0,0.248,0.174,-4.999,0.001,0.018,2,14,0,0.166,0,0,0.098,nan,0.303,0,0,0.166,0.000,0.000,0.000,0.000
48.0,0.251,0.186,-4.997,0.003,0.023,2,14,0,0.132,0,0,0.100,nan,0.313,0,0,0.132,0.000,0.000,0.000,0.000
49.0,0.228,0.107,-4.973,0.027,0.050,2,14,0,0.143,0,0,0.113,nan,0.252,0,0,0.143,0.000,0.000,0.000,0.000
50.0,0.285,0.063,-4.959,0.041,0.063,2,14,0,0.142,0,0,0.091,nan,0.292,0,0,0.142,0.000,0.000,0.000,0.000
51.0,0.367,0.105,-4.985,0.015,0.064,2,14,0,0.161,0,0,0.042,nan,0.382,0,0,0.161,0.000,0.000,0.000,0.000
52.0,0.472,0.155,-4.951,0.049,0.042,2,14,0,0.159,0,0,0.135,nan,0.497,0,0,0.159,0.000,0.000,0.000,0.000
53.0,0.535,0.141,-5.014,-0.014,0.027,2,14,0,0.207,0,0,0.197,nan,0.553,0,0,0.207,0.000,0.000,0.000,0.000
54.0,0.431,0.153,-5.039,-0.039,0.097,2,14,0,0.156,0,0,0.095,nan,0.457,0,0,0.156,0.000,0.000,0.000,0.000
55.0,0.364,0.223,-4.982,0.018,0.095,2,14,0,0.131,0,0,0.091,nan,0.427,0,0,0.131,0.000,0.000,0.000,0.000
56.0,0.286,0.143,-5.044,-0.044,0.079,2,14,0,0.126,0,0,0.052,nan,0.319,0,0,0.126,0.000,0.000,0.000,0.000
57.0,0.258,0.093,-5.013,-0.013,0.030,2,14,0,0.142,0,0,0.091,nan,0.274,0,0,0.142,0.000,0.000,0.000,0.000
58.0,0.242,0.105,-4.995,0.005,0.014,2,14,0,0.147,0,0,0.101,nan,0.264,0,0,0.147,0.000,0.000,0.000,0.000
59.0,0.249,0.145,-4.978,0.022,0.037,2,14,0,0.145,0,0,0.089,nan,0.288,0,0,0.145,0.000,0.000,0.000,0.000
60.0,0.282,0.143,-4.958,0.042,0.057,2,14,0,0.122,0,0,0.056,nan,0.316,0,0,0.122,0.000,0.000,0.000,0.000
61.0,0.299,0.126,-4.936,0.064,0.054,2,14,0,0.134,0,0,0.040,nan,0.325,0,0,0.134,0.000,0.000,0.000,0.000
62.0,0.346,0.144,-5.000,0.000,0.051,2,14,0,0.147,0,0,0.010,nan,0.375,0,0,0.147,0.000,0.000,0.000,0.000
63.0,0.429,0.100,-4.928,0.072,0.035,2,14,0,0.170,0,0,0.097,nan,0.441,0,0,0.170,0.000,0.000,0.000,0.000
64.0,0.526,0.095,-5.042,-0.042,0.015,2,14,0,0.140,0,0,0.192,nan,0.535,0,0,0.140,0.000,0.000,0.000,0.000
65.0,0.477,0.137,-5.063,-0.063,0.081,2,14,0,0.147,0,0,0.139,nan,0.496,0,0,0.147,0.000,0.000,0.000,0.000
66.0,0.405,0.208,-4.956,0.044,0.114,2,14,0,0.154,0,0,0.098,nan,0.456,0,0,0.154,0.000,0.000,0.000,0.000
67.0,0.230,0.232,-5.004,-0.004,0.094,2,14,0,0.163,0,0,0.144,nan,0.327,0,0,0.163,0.000,0.000,0.000,0.000
68.0,0.180,0.207,-5.034,-0.034,0.052,2,14,0,0.132,0,0,0.173,nan,0.274,0,0,0.132,0.000,0.000,0.000,0.000
69.0,0.194,0.124,-4.970,0.030,0.082,2,14,0,0.158,0,0,0.145,nan,0.231,0,0,0.158,0.000,0.000,0.000,0.000
70.0,0.297,0.100,-5.059,-0.059,0.094,2,14,0,0.160,0,0,0.054,nan,0.314,0,0,0.160,0.000,0.000,0.000,0.000
71.0,0.320,0.072,-5.028,-0.028,0.068,2,14,0,0.126,0,0,0.066,nan,0.328,0,0,0.126,0.000,0.000,0.000,0.000
72.0,0.372,0.064,-4.966,0.034,0.052,2,14,0,0.133,0,0,0.080,nan,0.378,0,0,0.133,0.000,0.000,0.000,0.000
73.0,0.422,0.058,-4.976,0.024,0.050,2,14,0,0.146,0,0,0.115,nan,0.426,0,0,0.146,0.000,0.000,0.000,0.000
74.0,0.412,0.155,-4.967,0.033,0.069,2,14,0,0.128,0,0,0.076,nan,0.440,0,0,0.128,0.000,0.000,0.000,0.000
75.0,0.370,0.231,-4.945,0.055,0.055,2,14,0,0.174,0,0,0.100,nan,0.437,0,0,0.174,0.000,0.000,0.000,0.000
76.0,0.337,0.226,-4.987,0.013,0.046,2,14,0,0.118,0,0,0.090,nan,0.405,0,0,0.118,0.000,0.000,0.000,0.000
77.0,0.278,0.177,-5.006,-0.006,0.055,2,14,0,0.133,0,0,0.073,nan,0.329,0,0,0.133,0.000,0.000,0.000,0.000
78.0,0.289,0.112,-4.988,0.012,0.043,2,14,0,0.117,0,0,0.054,nan,0.310,0,0,0.117,0.000,0.000,0.000,0.000
79.0,0.274,0.093,-4.955,0.045,0.030,2,14,0,0.236,0,0,0.078,nan,0.289,0,0,0.236,0.000,0.000,0.000,0.000
80.0,0.378,0.056,-5.002,-0.002,0.056,2,14,0,0.152,0,0,0.089,nan,0.382,0,0,0.152,0.000,0.000,0.000,0.000
81.0,0.445,0.042,-5.002,-0.002,0.027,2,14,0,0.142,0,0,0.143,nan,0.447,0,0,0.142,0.000,0.000,0.000,0.000
82.0,0.427,0.075,-4.995,0.005,0.067,2,14,0,0.153,0,0,0.110,nan,0.434,0,0,0.153,0.000,0.000,0.000,0.000
