t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
29.0,-0.156,0.337,-4.998,0.002,0.055,2,14,0,0.168,0,0,0.095,0.563,-0.260,-5.455,-0.455,0.064,2,14,0,0.216,0,0,0.024,1.040,3.572,29,0,0.216,0.000,0.000,0.000,0.000
30.0,-0.165,0.295,-4.996,0.004,0.044,2,14,0,0.142,0,0,0.066,0.520,-0.352,-5.406,-0.406,0.033,2,14,0,0.139,0,0,0.111,1.028,3.538,30,0,0.142,0.000,0.000,0.000,0.000
31.0,-0.139,0.304,-5.007,-0.007,0.043,2,14,0,0.150,0,0,0.058,0.527,-0.394,-5.374,-0.374,0.019,2,14,0,0.141,0,0,0.152,1.033,3.549,31,0,0.150,0.000,0.000,0.000,0.000
32.0,-0.220,0.229,-5.034,-0.034,0.053,2,14,0,0.182,0,0,0.111,0.529,-0.310,-5.406,-0.406,0.081,2,14,0,0.173,0,0,0.072,0.995,3.543,32,0,0.182,0.000,0.000,0.000,0.000
33.0,-0.194,0.154,-4.998,0.002,0.068,2,14,0,0.178,0,0,0.131,0.595,-0.251,-5.391,-0.391,0.063,2,14,0,0.151,0,0,0.051,0.970,3.604,33,0,0.178,0.000,0.000,0.000,0.000
34.0,-0.128,0.152,-5.028,-0.028,0.075,2,14,0,0.181,0,0,0.106,0.558,-0.188,-5.434,-0.434,0.047,2,14,0,0.174,0,0,0.056,0.867,3.563,34,0,0.181,0.000,0.000,0.000,0.000
35.0,-0.016,0.179,-4.998,0.002,0.076,2,14,0,0.163,0,0,0.122,0.591,-0.199,-5.409,-0.409,0.005,2,14,0,0.162,0,0,0.064,0.825,3.596,35,0,0.163,0.000,0.000,0.000,0.000
36.0,0.039,0.274,-4.961,0.039,0.071,2,14,0,0.189,0,0,0.151,0.542,-0.236,-5.378,-0.378,0.024,2,14,0,0.140,0,0,0.006,0.829,3.550,36,0,0.189,0.000,0.000,0.000,0.000
37.0,-0.007,0.343,-4.935,0.065,0.069,2,14,0,0.200,0,0,0.134,0.490,-0.223,-5.408,-0.408,0.018,2,14,0,0.143,0,0,0.058,0.890,3.497,37,0,0.200,0.000,0.000,0.000,0.000
38.0,-0.107,0.392,-5.046,-0.046,0.090,2,14,0,0.170,0,0,0.136,0.509,-0.250,-5.404,-0.404,0.017,2,14,0,0.134,0,0,0.036,0.959,3.518,38,0,0.170,0.000,0.000,0.000,0.000
39.0,-0.194,0.349,-5.052,-0.052,0.087,2,14,0,0.176,0,0,0.126,0.525,-0.192,-5.310,-0.310,0.024,2,14,0,0.146,0,0,0.054,0.936,3.530,39,0,0.176,0.000,0.000,0.000,0.000
40.0,-0.165,0.252,-5.003,-0.003,0.068,2,14,0,0.173,0,0,0.053,0.604,-0.207,-5.369,-0.369,0.031,2,14,0,0.139,0,0,0.069,0.967,3.610,40,0,0.173,0.000,0.000,0.000,0.000
41.0,-0.147,0.216,-5.019,-0.019,0.053,2,14,0,0.256,0,0,0.051,0.581,-0.221,-5.367,-0.367,0.029,2,14,0,0.138,0,0,0.043,0.917,3.588,41,0,0.256,0.000,0.000,0.000,0.000
42.0,-0.173,0.171,-5.010,-0.010,0.029,2,14,0,0.153,0,0,0.105,0.516,-0.186,-5.402,-0.402,0.030,2,14,0,0.142,0,0,0.063,0.870,3.521,42,0,0.153,0.000,0.000,0.000,0.000
43.0,-0.164,0.217,-5.022,-0.022,0.043,2,14,0,0.184,0,0,0.065,0.509,-0.208,-5.447,-0.447,0.031,2,14,0,0.142,0,0,0.050,0.902,3.515,43,0,0.184,0.000,0.000,0.000,0.000
44.0,-0.106,0.230,-4.970,0.030,0.058,2,14,0,0.169,0,0,0.026,0.504,-0.253,-5.410,-0.410,0.038,2,14,0,0.390,0,0,0.042,0.894,3.513,44,0,0.390,0.000,0.000,0.000,0.000
45.0,-0.024,0.266,-4.992,0.008,0.043,2,14,0,0.170,0,0,0.088,0.500,-0.336,-5.383,-0.383,0.042,2,14,0,0.319,0,0,0.103,0.888,3.516,45,0,0.319,0.000,0.000,0.000,0.000
46.0,-0.038,0.293,-5.006,-0.006,0.030,2,14,0,0.175,0,0,0.083,0.597,-0.320,-5.356,-0.356,0.046,2,14,0,0.164,0,0,0.095,0.950,3.611,46,0,0.175,0.000,0.000,0.000,0.000
47.0,-0.048,0.273,-5.019,-0.019,0.031,2,14,0,0.177,0,0,0.064,0.571,-0.291,-5.372,-0.372,0.045,2,14,0,0.139,0,0,0.056,0.909,3.582,47,0,0.177,0.000,0.000,0.000,0.000
48.0,-0.068,0.225,-4.942,0.058,0.048,2,14,0,0.159,0,0,0.054,0.531,-0.234,-5.352,-0.352,0.047,2,14,0,0.147,0,0,0.015,0.858,3.538,48,0,0.159,0.000,0.000,0.000,0.000
49.0,-0.128,0.196,-4.956,0.044,0.043,2,14,0,0.230,0,0,0.063,0.584,-0.170,-5.378,-0.378,0.022,2,14,0,0.172,0,0,0.082,0.905,3.588,49,0,0.230,0.000,0.000,0.000,0.000
