t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
134.0,17.866,-1.804,-4.969,0.031,0.023,2,14,0,0.477,0,0,0.055,0.5868,0,20.731,2.873,-5.195,-0.195,0.071,2,14,0,0.309,0,0,0.082,0.6995,0,20.894,-2.967,-5.391,-0.391,0.027,2,14,0,0.315,0,0,0.040,0.5794,0,22.998,-0.142,-5.328,-0.328,0.022,2,14,0,0.310,0,0,0.027,0.5966,0,17.500,1.549,-4.647,0.353,0.027,2,14,0,0.319,0,0,0.127,0.7010,0,3.270,0.296,0,0,0.477,20.000,0.000,0.000,0.000
135.0,17.886,-1.755,-5.004,-0.004,0.018,2,14,0,0.325,0,0,0.061,0.5868,0,20.630,2.861,-5.203,-0.203,0.017,2,14,0,0.312,0,0,0.177,0.6995,0,20.908,-2.937,-5.351,-0.351,0.038,2,14,0,0.314,0,0,0.009,0.5794,0,23.001,-0.157,-5.323,-0.323,0.017,2,14,0,0.320,0,0,0.043,0.5966,0,17.472,1.553,-4.636,0.364,0.040,2,14,0,0.315,0,0,0.158,0.7010,0,3.263,0.314,0,0,0.325,20.000,0.000,0.000,0.000
136.0,17.910,-1.734,-4.980,0.020,0.023,2,14,0,0.327,0,0,0.091,0.5868,0,20.671,2.859,-5.254,-0.254,0.061,2,14,0,0.308,0,0,0.143,0.6995,0,20.954,-2.916,-5.420,-0.420,0.032,2,14,0,0.317,0,0,0.042,0.5794,0,23.003,-0.166,-5.375,-0.375,0.025,2,14,0,0.378,0,0,0.052,0.5966,0,17.567,1.557,-4.626,0.374,0.085,2,14,0,0.316,0,0,0.063,0.7010,0,3.295,0.339,0,0,0.378,20.000,0.000,0.000,0.000
137.0,17.894,-1.728,-4.956,0.044,0.053,2,14,0,0.330,0,0,0.079,0.5868,0,20.780,2.905,-5.253,-0.253,0.097,2,14,0,0.421,0,0,0.028,0.6995,0,20.862,-2.831,-5.385,-0.385,0.016,2,14,0,0.314,0,0,0.114,0.5794,0,23.014,-0.112,-5.362,-0.362,0.041,2,14,0,0.310,0,0,0.019,0.5966,0,17.595,1.515,-4.671,0.329,0.076,2,14,0,0.323,0,0,0.043,0.7010,0,3.195,0.323,0,0,0.421,20.000,0.000,0.000,0.000
138.0,17.801,-1.721,-4.991,0.009,0.062,2,14,0,0.323,0,0,0.053,0.5868,0,20.814,2.950,-5.296,-0.296,0.062,2,14,0,0.309,0,0,0.029,0.6995,0,20.878,-2.848,-5.405,-0.405,0.033,2,14,0,0.364,0,0,0.093,0.5794,0,22.997,-0.057,-5.285,-0.285,0.017,2,14,0,0.318,0,0,0.058,0.5966,0,17.656,1.579,-4.691,0.309,0.064,2,14,0,0.338,0,0,0.045,0.7010,0,3.303,0.232,0,0,0.364,20.000,0.000,0.000,0.000
139.0,17.789,-1.803,-5.025,-0.025,0.045,2,14,0,0.329,0,0,0.051,0.5868,0,20.868,2.964,-5.286,-0.286,0.038,2,14,0,0.314,0,0,0.080,0.6995,0,20.930,-2.921,-5.394,-0.394,0.059,2,14,0,0.319,0,0,0.020,0.5794,0,23.079,-0.066,-5.311,-0.311,0.010,2,14,0,0.308,0,0,0.097,0.5966,0,17.713,1.584,-4.666,0.334,0.025,2,14,0,0.318,0,0,0.095,0.7010,0,3.355,0.227,0,0,0.329,20.000,0.000,0.000,0.000
140.0,17.799,-1.868,-5.001,-0.001,0.009,2,14,0,0.315,0,0,0.103,0.5868,0,20.865,2.970,-5.222,-0.222,0.014,2,14,0,0.314,0,0,0.083,0.6995,0,20.943,-2.984,-5.488,-0.488,0.036,2,14,0,0.333,0,0,0.059,0.5794,0,23.092,-0.007,-5.314,-0.314,0.034,2,14,0,0.328,0,0,0.145,0.5966,0,17.726,1.530,-4.674,0.326,0.029,2,14,0,0.373,0,0,0.098,0.7010,0,3.372,0.278,0,0,0.373,20.000,0.000,0.000,0.000
141.0,17.754,-1.847,-5.018,-0.018,0.033,2,14,0,0.324,0,0,0.107,0.5868,0,20.842,2.959,-5.176,-0.176,0.042,2,14,0,0.309,0,0,0.059,0.6995,0,20.875,-2.940,-5.409,-0.409,0.013,2,14,0,0.366,0,0,0.039,0.5794,0,23.060,-0.086,-5.318,-0.318,0.081,2,14,0,0.321,0,0,0.073,0.5966,0,17.758,1.494,-4.641,0.359,0.045,2,14,0,0.638,0,0,0.138,0.7010,0,3.330,0.326,0,0,0.638,20.000,0.000,0.000,0.000
142.0,17.782,-1.715,-5.020,-0.020,0.071,2,14,0,0.347,0,0,0.068,0.5868,0,20.833,2.908,-5.201,-0.201,0.051,2,14,0,0.316,0,0,0.043,0.6995,0,20.856,-2.951,-5.383,-0.383,0.015,2,14,0,0.307,0,0,0.061,0.5794,0,22.990,-0.144,-5.323,-0.323,0.076,2,14,0,0.313,0,0,0.029,0.5966,0,17.628,1.480,-4.655,0.345,0.078,2,14,0,0.320,0,0,0.062,0.7010,0,3.219,0.288,0,0,0.347,20.000,0.000,0.000,0.000
143.0,17.851,-1.634,-4.921,0.079,0.044,2,14,0,0.324,0,0,0.135,0.5868,0,20.769,2.894,-5.174,-0.174,0.044,2,14,0,0.313,0,0,0.041,0.6995,0,20.887,-2.970,-5.412,-0.412,0.026,2,14,0,0.283,0,0,0.045,0.5794,0,22.814,-0.132,-5.345,-0.345,0.033,2,14,0,0.310,0,0,0.181,0.5966,0,17.524,1.457,-4.684,0.316,0.065,2,14,0,0.370,0,0,0.132,0.7010,0,3.117,0.310,0,0,0.370,20.000,0.000,0.000,0.000
