t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
28.0,-18.136,-7.188,-5.032,-0.032,2.898,2,14,0,0.220,0,0,1.447,nan,1.551,0,0,0.220,-18.257,-5.642,0.846,-1.239
29.0,-17.005,-9.777,-5.006,-0.006,2.727,2,14,0,0.196,0,0,2.862,nan,2.982,0,0,0.196,-17.321,-6.812,1.022,-1.098
30.0,-15.760,-12.082,-4.947,0.053,2.522,2,14,0,0.171,0,0,4.157,nan,4.277,0,0,0.171,-16.221,-7.830,1.174,-0.933
31.0,-14.507,-14.108,-5.010,-0.010,2.262,2,14,0,0.200,0,0,5.349,nan,5.458,0,0,0.200,-14.981,-8.671,1.301,-0.747
32.0,-13.263,-15.750,-5.037,-0.037,2.016,2,14,0,0.203,0,0,6.358,nan,6.443,0,0,0.203,-13.629,-9.318,1.398,-0.544
33.0,-11.900,-17.039,-5.009,-0.009,1.799,2,14,0,0.205,0,0,7.203,nan,7.289,0,0,0.205,-12.196,-9.756,1.463,-0.329
34.0,-10.466,-17.935,-5.007,-0.007,1.658,2,14,0,0.227,0,0,7.891,nan,7.964,0,0,0.227,-10.713,-9.975,1.496,-0.107
35.0,-8.978,-18.511,-4.974,0.026,1.585,2,14,0,0.236,0,0,8.473,nan,8.546,0,0,0.236,-9.215,-9.969,1.495,0.118
36.0,-7.402,-18.635,-5.011,-0.011,1.576,2,14,0,0.200,0,0,8.834,nan,8.902,0,0,0.200,-7.734,-9.740,1.461,0.340
37.0,-5.867,-18.337,-4.978,0.022,1.593,2,14,0,0.210,0,0,8.993,nan,9.056,0,0,0.210,-6.304,-9.292,1.394,0.554
38.0,-4.446,-17.551,-5.009,-0.009,1.694,2,14,0,0.888,0,0,8.865,nan,8.931,0,0,0.888,-4.957,-8.635,1.295,0.757
39.0,-3.245,-16.362,-4.983,0.017,1.897,2,14,0,0.196,0,0,8.528,nan,8.591,0,0,0.196,-3.723,-7.784,1.168,0.942
