t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
37.0,0.187,-0.201,-0.524,4.476,0.007,2,12,0,0.659,0,1,0.012,0.545,3.157,-5.245,-0.245,0.053,2,14,0,0.156,0,0,0.044,0.133,-3.279,-5.069,-0.069,0.133,2,14,0,0.189,0,0,0.072,2.890,-0.062,-4.318,0.682,0.014,2,14,0,0.161,0,0,0.053,-2.637,0.062,-4.370,0.630,0.036,2,14,0,0.181,0,0,0.070,2.752,3.022,-5.467,-0.467,0.028,2,14,0,0.149,0,0,0.074,-2.897,3.536,-1.369,3.631,0.009,2,12,0,0.247,0,1,0.247,2.954,-2.932,-5.006,-0.006,0.145,2,14,0,0.152,0,0,0.333,-3.347,-2.783,-5.029,-0.029,0.024,2,14,0,0.193,0,0,0.164,2.222,0.567,0,0,0.659,0.000,0.000,0.000,0.000
38.0,0.187,-0.200,-0.540,4.460,0.007,2,12,0,0.659,0,1,0.012,0.542,3.117,-5.180,-0.180,0.035,2,14,0,0.146,0,0,0.051,-0.001,-3.099,-5.032,-0.032,0.113,2,14,0,0.160,0,0,0.158,2.900,-0.002,-4.309,0.691,0.032,2,14,0,0.205,0,0,0.047,-2.576,0.126,-4.351,0.649,0.029,2,14,0,0.219,0,0,0.136,2.703,3.000,-5.478,-0.478,0.032,2,14,0,0.181,0,0,0.065,-2.897,3.535,-1.447,3.553,0.009,2,12,0,0.247,0,1,0.247,2.850,-2.865,-4.976,0.024,0.159,2,14,0,0.216,0,0,0.337,-3.296,-2.811,-5.010,-0.010,0.075,2,14,0,0.165,0,0,0.113,2.184,0.555,0,0,0.659,0.000,0.000,0.000,0.000
39.0,0.187,-0.200,-0.558,4.442,0.006,2,12,0,0.659,0,1,0.012,0.485,3.147,-5.219,-0.219,0.034,2,14,0,0.182,0,0,0.017,-0.010,-3.067,-5.076,-0.076,0.003,2,14,0,0.160,0,0,0.192,2.886,0.043,-4.298,0.702,0.016,2,14,0,0.153,0,0,0.088,-2.688,0.107,-4.336,0.664,0.062,2,14,0,0.176,0,0,0.032,2.669,2.935,-5.566,-0.566,0.033,2,14,0,0.174,0,0,0.074,-2.898,3.535,-1.528,3.472,0.008,2,12,0,0.247,0,1,0.247,2.682,-2.910,-4.980,0.020,0.196,2,14,0,0.175,0,0,0.275,-3.251,-2.831,-5.013,-0.013,0.076,2,14,0,0.165,0,0,0.076,2.221,0.545,0,0,0.659,0.000,0.000,0.000,0.000
40.0,0.187,-0.200,-0.576,4.424,0.006,2,12,0,0.659,0,1,0.012,0.502,3.153,-5.221,-0.221,0.005,2,14,0,0.175,0,0,0.003,0.057,-3.125,-5.148,-0.148,0.078,2,14,0,0.238,0,0,0.115,2.906,0.026,-4.300,0.700,0.041,2,14,0,0.156,0,0,0.067,-2.753,0.130,-4.345,0.655,0.045,2,14,0,0.188,0,0,0.067,2.716,2.905,-5.444,-0.444,0.036,2,14,0,0.173,0,0,0.052,-2.898,3.534,-1.609,3.391,0.008,2,12,0,0.247,0,1,0.247,2.548,-3.022,-4.984,0.016,0.196,2,14,0,0.173,0,0,0.241,-3.178,-2.823,-5.067,-0.067,0.078,2,14,0,0.164,0,0,0.029,2.239,0.544,0,0,0.659,0.000,0.000,0.000,0.000
41.0,0.187,-0.199,-0.595,4.405,0.006,2,12,0,0.659,0,1,0.012,0.477,3.145,-5.199,-0.199,0.011,2,14,0,0.143,0,0,0.026,0.137,-3.195,-5.079,-0.079,0.089,2,14,0,0.163,0,0,0.069,2.982,-0.007,-4.251,0.749,0.048,2,14,0,0.151,0,0,0.054,-2.777,0.196,-4.362,0.638,0.013,2,14,0,0.151,0,0,0.134,2.767,2.968,-5.398,-0.398,0.035,2,14,0,0.157,0,0,0.031,-2.899,3.534,-1.693,3.307,0.008,2,12,0,0.247,0,1,0.247,2.388,-3.187,-4.962,0.038,0.172,2,14,0,0.205,0,0,0.343,-3.078,-2.836,-5.070,-0.070,0.047,2,14,0,0.167,0,0,0.114,2.254,0.640,0,0,0.659,0.000,0.000,0.000,0.000
42.0,0.187,-0.199,-0.615,4.385,0.006,2,12,0,0.659,0,1,0.012,0.529,3.150,-5.277,-0.277,0.026,2,14,0,0.179,0,0,0.027,0.110,-3.271,-5.019,-0.019,0.076,2,14,0,0.185,0,0,0.045,3.037,-0.027,-4.313,0.687,0.033,2,14,0,0.179,0,0,0.103,-2.740,0.175,-4.339,0.661,0.037,2,14,0,0.231,0,0,0.099,2.710,2.973,-5.444,-0.444,0.011,2,14,0,0.180,0,0,0.041,-2.899,3.534,-1.780,3.220,0.007,2,12,0,0.247,0,1,0.247,2.385,-3.382,-4.938,0.062,0.171,2,14,0,0.218,0,0,0.400,-3.060,-2.774,-5.094,-0.094,0.035,2,14,0,0.191,0,0,0.125,2.194,0.724,0,0,0.659,0.000,0.000,0.000,0.000
43.0,0.187,-0.199,-0.635,4.365,0.006,2,12,0,0.659,0,1,0.012,0.512,3.149,-5.264,-0.264,0.011,2,14,0,0.149,0,0,0.009,0.093,-3.330,-5.054,-0.054,0.034,2,14,0,0.168,0,0,0.095,2.995,0.035,-4.328,0.672,0.045,2,14,0,0.209,0,0,0.092,-2.719,0.127,-4.391,0.609,0.054,2,14,0,0.148,0,0,0.048,2.759,2.914,-5.442,-0.442,0.030,2,14,0,0.189,0,0,0.038,-2.899,3.533,-1.868,3.132,0.007,2,12,0,0.247,0,1,0.247,2.564,-3.517,-5.025,-0.025,0.217,2,14,0,0.205,0,0,0.377,-3.063,-2.730,-5.023,-0.023,0.053,2,14,0,0.191,0,0,0.137,2.267,0.677,0,0,0.659,0.000,0.000,0.000,0.000
44.0,0.187,-0.199,-0.656,4.344,0.006,2,12,0,0.659,0,1,0.012,0.454,3.156,-5.280,-0.280,0.003,2,14,0,0.166,0,0,0.049,0.109,-3.333,-5.060,-0.060,0.023,2,14,0,0.164,0,0,0.103,2.895,0.014,-4.247,0.753,0.066,2,14,0,0.176,0,0,0.063,-2.676,0.064,-4.404,0.596,0.045,2,14,0,0.147,0,0,0.034,2.742,2.911,-5.424,-0.424,0.011,2,14,0,0.178,0,0,0.038,-2.900,3.533,-1.957,3.043,0.007,2,12,0,0.247,0,1,0.247,2.803,-3.545,-4.942,0.058,0.241,2,14,0,0.173,0,0,0.373,-3.092,-2.707,-5.000,0.000,0.081,2,14,0,0.192,0,0,0.128,2.306,0.579,0,0,0.659,0.000,0.000,0.000,0.000
45.0,0.186,-0.199,-0.678,4.322,0.006,2,12,0,0.659,0,1,0.012,0.467,3.089,-5.223,-0.223,0.037,2,14,0,0.175,0,0,0.071,0.093,-3.274,-5.133,-0.133,0.049,2,14,0,0.189,0,0,0.041,2.872,-0.068,-4.273,0.727,0.054,2,14,0,0.149,0,0,0.072,-2.608,0.071,-4.447,0.553,0.019,2,14,0,0.175,0,0,0.096,2.669,2.937,-5.443,-0.443,0.029,2,14,0,0.175,0,0,0.075,-2.900,3.532,-2.048,2.952,0.006,2,12,0,0.247,0,1,0.247,2.997,-3.389,-4.948,0.052,0.241,2,14,0,0.202,0,0,0.339,-3.166,-2.679,-5.020,-0.020,0.092,2,14,0,0.194,0,0,0.118,2.218,0.541,0,0,0.659,0.000,0.000,0.000,0.000
46.0,0.186,-0.198,-0.700,4.300,0.005,2,12,0,0.659,0,1,0.012,0.512,3.057,-5.198,-0.198,0.036,2,14,0,0.172,0,0,0.094,0.157,-3.218,-5.095,-0.095,0.044,2,14,0,0.163,0,0,0.078,2.878,-0.124,-4.346,0.654,0.024,2,14,0,0.155,0,0,0.105,-2.630,0.062,-4.371,0.629,0.043,2,14,0,0.173,0,0,0.080,2.679,2.994,-5.468,-0.468,0.031,2,14,0,0.177,0,0,0.079,-2.901,3.531,-2.141,2.859,0.006,2,12,0,0.247,0,1,0.247,3.084,-3.173,-4.939,0.061,0.218,2,14,0,0.215,0,0,0.352,-3.207,-2.760,-5.020,-0.020,0.086,2,14,0,0.483,0,0,0.042,2.185,0.540,0,0,0.659,0.000,0.000,0.000,0.000
