t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
55.0,19.276,-0.456,-4.964,0.036,0.099,2,14,0,0.189,0,0,0.129,16.648,0.362,-6.618,-1.618,0.069,2,14,0,0.302,0,0,0.123,3.211,0.856,0,0,0.302,20.000,0.000,0.000,0.000
56.0,19.234,-0.538,-4.966,0.034,0.049,2,14,0,0.158,0,0,0.192,16.783,0.312,-6.535,-1.535,0.103,2,14,0,0.180,0,0,0.028,3.032,0.936,0,0,0.180,20.000,0.000,0.000,0.000
57.0,19.183,-0.507,-5.015,-0.015,0.067,2,14,0,0.190,0,0,0.161,16.907,0.302,-6.579,-1.579,0.053,2,14,0,0.144,0,0,0.142,2.878,0.962,0,0,0.190,20.000,0.000,0.000,0.000
58.0,19.150,-0.438,-5.023,-0.023,0.103,2,14,0,0.205,0,0,0.107,16.930,0.284,-6.532,-1.532,0.028,2,14,0,0.156,0,0,0.169,2.779,0.957,0,0,0.205,20.000,0.000,0.000,0.000
59.0,19.195,-0.327,-5.091,-0.091,0.093,2,14,0,0.160,0,0,0.021,16.947,0.298,-6.550,-1.550,0.087,2,14,0,0.178,0,0,0.183,2.752,0.869,0,0,0.178,20.000,0.000,0.000,0.000
60.0,19.187,-0.272,-4.982,0.018,0.049,2,14,0,0.159,0,0,0.076,16.779,0.374,-6.563,-1.563,0.129,2,14,0,0.190,0,0,0.039,2.952,0.857,0,0,0.190,20.000,0.000,0.000,0.000
61.0,19.210,-0.245,-4.996,0.004,0.016,2,14,0,0.185,0,0,0.103,16.624,0.433,-6.624,-1.624,0.081,2,14,0,0.203,0,0,0.172,3.130,0.827,0,0,0.203,20.000,0.000,0.000,0.000
62.0,19.275,-0.307,-5.033,-0.033,0.042,2,14,0,0.188,0,0,0.084,16.662,0.414,-6.566,-1.566,0.032,2,14,0,0.157,0,0,0.132,3.114,0.787,0,0,0.188,20.000,0.000,0.000,0.000
63.0,19.249,-0.343,-4.923,0.077,0.056,2,14,0,0.190,0,0,0.048,16.610,0.326,-6.614,-1.614,0.065,2,14,0,0.190,0,0,0.159,3.204,0.826,0,0,0.190,20.000,0.000,0.000,0.000
64.0,19.199,-0.415,-5.008,-0.008,0.046,2,14,0,0.162,0,0,0.068,16.681,0.212,-6.614,-1.614,0.091,2,14,0,0.155,0,0,0.152,3.052,0.902,0,0,0.162,20.000,0.000,0.000,0.000
65.0,19.226,-0.398,-5.006,-0.006,0.022,2,14,0,0.182,0,0,0.056,16.818,0.196,-6.562,-1.562,0.095,2,14,0,0.180,0,0,0.149,2.928,0.870,0,0,0.182,20.000,0.000,0.000,0.000
66.0,19.190,-0.292,-5.066,-0.066,0.042,2,14,0,0.195,0,0,0.056,16.863,0.270,-6.520,-1.520,0.077,2,14,0,0.179,0,0,0.116,2.801,0.861,0,0,0.195,20.000,0.000,0.000,0.000
67.0,19.159,-0.287,-5.048,-0.048,0.015,2,14,0,0.159,0,0,0.074,16.824,0.355,-6.557,-1.557,0.076,2,14,0,0.288,0,0,0.059,2.854,0.888,0,0,0.288,20.000,0.000,0.000,0.000
68.0,19.103,-0.319,-4.928,0.072,0.023,2,14,0,0.157,0,0,0.102,16.739,0.409,-6.583,-1.583,0.053,2,14,0,0.177,0,0,0.077,2.975,0.952,0,0,0.177,20.000,0.000,0.000,0.000
69.0,19.109,-0.355,-4.957,0.043,0.051,2,14,0,0.250,0,0,0.093,16.763,0.468,-6.560,-1.560,0.006,2,14,0,0.181,0,0,0.131,2.958,0.959,0,0,0.250,20.000,0.000,0.000,0.000
70.0,19.091,-0.416,-4.958,0.042,0.061,2,14,0,0.169,0,0,0.130,16.792,0.443,-6.519,-1.519,0.042,2,14,0,0.158,0,0,0.108,2.909,0.999,0,0,0.169,20.000,0.000,0.000,0.000
71.0,19.159,-0.395,-5.004,-0.004,0.087,2,14,0,0.183,0,0,0.065,16.787,0.358,-6.515,-1.515,0.074,2,14,0,0.184,0,0,0.029,2.911,0.930,0,0,0.184,20.000,0.000,0.000,0.000
72.0,19.271,-0.392,-5.027,-0.027,0.070,2,14,0,0.172,0,0,0.083,16.828,0.288,-6.504,-1.504,0.057,2,14,0,0.150,0,0,0.077,2.935,0.828,0,0,0.172,20.000,0.000,0.000,0.000
73.0,19.287,-0.360,-4.985,0.015,0.036,2,14,0,0.181,0,0,0.085,16.862,0.242,-6.575,-1.575,0.032,2,14,0,0.156,0,0,0.134,2.962,0.799,0,0,0.181,20.000,0.000,0.000,0.000
74.0,19.355,-0.297,-4.990,0.010,0.042,2,14,0,0.180,0,0,0.161,16.749,0.274,-6.610,-1.610,0.065,2,14,0,0.498,0,0,0.065,3.121,0.710,0,0,0.498,20.000,0.000,0.000,0.000
75.0,19.332,-0.313,-4.985,0.015,0.077,2,14,0,0.158,0,0,0.135,16.687,0.294,-6.601,-1.601,0.050,2,14,0,0.177,0,0,0.092,3.159,0.737,0,0,0.177,20.000,0.000,0.000,0.000
76.0,19.187,-0.298,-4.984,0.016,0.109,2,14,0,0.190,0,0,0.052,16.703,0.322,-6.525,-1.525,0.037,2,14,0,0.182,0,0,0.066,2.988,0.866,0,0,0.190,20.000,0.000,0.000,0.000
77.0,19.083,-0.280,-4.995,0.005,0.061,2,14,0,0.428,0,0,0.137,16.680,0.365,-6.553,-1.553,0.051,2,14,0,0.164,0,0,0.092,2.936,0.959,0,0,0.428,20.000,0.000,0.000,0.000
78.0,19.060,-0.315,-4.998,0.002,0.042,2,14,0,0.153,0,0,0.146,16.719,0.392,-6.609,-1.609,0.052,2,14,0,0.148,0,0,0.074,2.928,0.991,0,0,0.153,20.000,0.000,0.000,0.000
79.0,19.058,-0.404,-5.014,-0.014,0.066,2,14,0,0.166,0,0,0.154,16.769,0.400,-6.600,-1.600,0.053,2,14,0,0.150,0,0,0.063,2.899,1.025,0,0,0.166,20.000,0.000,0.000,0.000
80.0,19.149,-0.452,-5.015,-0.015,0.090,2,14,0,0.557,0,0,0.117,16.838,0.398,-6.576,-1.576,0.042,2,14,0,0.172,0,0,0.093,2.915,0.964,0,0,0.557,20.000,0.000,0.000,0.000
81.0,19.269,-0.477,-5.005,-0.005,0.086,2,14,0,0.184,0,0,0.146,16.822,0.405,-6.506,-1.506,0.038,2,14,0,0.177,0,0,0.088,3.003,0.873,0,0,0.184,20.000,0.000,0.000,0.000
82.0,19.307,-0.389,-4.994,0.006,0.079,2,14,0,0.174,0,0,0.114,16.834,0.334,-6.561,-1.561,0.044,2,14,0,0.180,0,0,0.066,3.015,0.795,0,0,0.180,20.000,0.000,0.000,0.000
83.0,19.347,-0.325,-5.022,-0.022,0.060,2,14,0,0.180,0,0,0.148,16.786,0.319,-6.561,-1.561,0.049,2,14,0,0.178,0,0,0.026,3.057,0.729,0,0,0.180,20.000,0.000,0.000,0.000
84.0,19.297,-0.208,-4.972,0.028,0.079,2,14,0,0.192,0,0,0.169,16.635,0.243,-6.542,-1.542,0.033,2,14,0,0.158,0,0,0.162,3.123,0.733,0,0,0.192,20.000,0.000,0.000,0.000
85.0,19.175,-0.201,-4.956,0.044,0.098,2,14,0,0.172,0,0,0.151,16.678,0.180,-6.516,-1.516,0.047,2,14,0,0.173,0,0,0.181,2.969,0.849,0,0,0.173,20.000,0.000,0.000,0.000
86.0,19.124,-0.257,-5.003,-0.003,0.084,2,14,0,0.147,0,0,0.120,16.774,0.243,-6.565,-1.565,0.100,2,14,0,0.173,0,0,0.096,2.865,0.913,0,0,0.173,20.000,0.000,0.000,0.000
87.0,19.098,-0.310,-5.002,-0.002,0.072,2,14,0,0.164,0,0,0.110,16.842,0.335,-6.577,-1.577,0.091,2,14,0,0.173,0,0,0.074,2.826,0.954,0,0,0.173,20.000,0.000,0.000,0.000
88.0,19.129,-0.371,-5.053,-0.053,0.070,2,14,0,0.183,0,0,0.077,16.848,0.449,-6.533,-1.533,0.061,2,14,0,0.150,0,0,0.137,2.840,0.947,0,0,0.183,20.000,0.000,0.000,0.000
89.0,19.202,-0.402,-5.033,-0.033,0.061,2,14,0,0.154,0,0,0.053,16.861,0.503,-6.536,-1.536,0.032,2,14,0,0.154,0,0,0.190,2.926,0.893,0,0,0.154,20.000,0.000,0.000,0.000
90.0,19.283,-0.457,-4.993,0.007,0.042,2,14,0,0.177,0,0,0.135,16.861,0.466,-6.612,-1.612,0.084,2,14,0,0.148,0,0,0.160,3.056,0.850,0,0,0.177,20.000,0.000,0.000,0.000
91.0,19.268,-0.503,-4.973,0.027,0.034,2,14,0,0.152,0,0,0.170,16.761,0.361,-6.529,-1.529,0.118,2,14,0,0.175,0,0,0.025,3.075,0.888,0,0,0.175,20.000,0.000,0.000,0.000
92.0,19.218,-0.381,-5.003,-0.003,0.089,2,14,0,0.175,0,0,0.038,16.695,0.273,-6.571,-1.571,0.077,2,14,0,0.149,0,0,0.097,3.042,0.870,0,0,0.175,20.000,0.000,0.000,0.000
93.0,19.164,-0.345,-5.038,-0.038,0.063,2,14,0,0.147,0,0,0.038,16.621,0.239,-6.591,-1.591,0.023,2,14,0,0.150,0,0,0.177,3.036,0.905,0,0,0.150,20.000,0.000,0.000,0.000
