t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d5_planratio,d5_clipn,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d6_planratio,d6_clipn,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d7_planratio,d7_clipn,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,d8_planratio,d8_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
158.0,12.052,-0.050,-4.960,0.040,0.067,2,14,0,0.178,0,0,0.096,0.2492,0,11.798,3.087,-5.354,-0.354,0.057,2,14,0,0.154,0,0,0.126,0.2490,0,11.933,-3.158,-5.361,-0.361,0.097,2,14,0,0.178,0,0,0.072,0.2537,0,14.977,0.008,-4.714,0.286,0.041,2,14,0,0.150,0,0,0.141,0.2618,0,9.219,0.178,-4.734,0.266,0.042,2,14,0,0.152,0,0,0.021,0.2643,0,15.050,3.196,-5.665,-0.665,0.071,2,14,0,0.186,0,0,0.027,0.2918,0,8.945,3.149,-5.054,-0.054,0.019,2,14,0,0.146,0,0,0.166,0.2328,0,15.093,-3.171,-5.010,-0.010,0.080,2,14,0,0.178,0,0,0.049,0.2629,0,9.140,-3.060,-6.372,-1.372,0.068,2,14,0,0.183,0,0,0.009,0.2670,0,2.851,0.283,0,0,0.186,12.000,0.000,0.000,0.000
159.0,12.077,0.015,-4.942,0.058,0.057,2,14,0,0.159,0,0,0.096,0.2492,0,11.828,2.989,-5.339,-0.339,0.081,2,14,0,0.179,0,0,0.103,0.2490,0,11.948,-3.118,-5.329,-0.329,0.075,2,14,0,0.158,0,0,0.038,0.2537,0,14.978,-0.002,-4.726,0.274,0.040,2,14,0,0.183,0,0,0.139,0.2618,0,9.260,0.173,-4.769,0.231,0.029,2,14,0,0.181,0,0,0.058,0.2643,0,15.027,3.279,-5.711,-0.711,0.037,2,14,0,0.161,0,0,0.088,0.2918,0,8.938,3.122,-5.098,-0.098,0.068,2,14,0,0.150,0,0,0.164,0.2328,0,15.038,-3.177,-5.000,-0.000,0.043,2,14,0,0.157,0,0,0.063,0.2629,0,9.180,-3.059,-6.454,-1.454,0.035,2,14,0,0.189,0,0,0.044,0.2670,0,2.827,0.312,0,0,0.189,12.000,0.000,0.000,0.000
160.0,12.028,0.059,-4.993,0.007,0.059,2,14,0,0.193,0,0,0.068,0.2492,0,11.903,2.874,-5.362,-0.362,0.074,2,14,0,0.171,0,0,0.169,0.2490,0,11.906,-3.065,-5.375,-0.375,0.065,2,14,0,0.191,0,0,0.031,0.2537,0,15.055,0.013,-4.687,0.313,0.079,2,14,0,0.231,0,0,0.089,0.2618,0,9.395,0.216,-4.683,0.317,0.009,2,14,0,0.153,0,0,0.200,0.2643,0,15.054,3.326,-5.710,-0.710,0.014,2,14,0,0.200,0,0,0.125,0.2918,0,8.989,3.060,-5.114,-0.114,0.111,2,14,0,0.186,0,0,0.118,0.2328,0,14.986,-3.115,-5.017,-0.017,0.029,2,14,0,0.162,0,0,0.089,0.2629,0,9.234,-3.038,-6.395,-1.395,0.005,2,14,0,0.183,0,0,0.099,0.2670,0,2.655,0.450,0,0,0.231,12.000,0.000,0.000,0.000
161.0,11.903,0.052,-4.960,0.040,0.050,2,14,0,0.167,0,0,0.087,0.2492,0,11.943,2.956,-5.344,-0.344,0.079,2,14,0,0.206,0,0,0.092,0.2490,0,11.806,-3.023,-5.275,-0.275,0.022,2,14,0,0.188,0,0,0.137,0.2537,0,15.051,-0.085,-4.735,0.265,0.081,2,14,0,0.150,0,0,0.052,0.2618,0,9.318,0.110,-4.755,0.245,0.088,2,14,0,0.172,0,0,0.129,0.2643,0,15.013,3.207,-5.734,-0.734,0.067,2,14,0,0.177,0,0,0.062,0.2918,0,9.166,3.060,-5.178,-0.178,0.117,2,14,0,0.245,0,0,0.071,0.2328,0,15.069,-3.143,-4.984,0.016,0.033,2,14,0,0.186,0,0,0.018,0.2629,0,9.167,-3.083,-6.420,-1.420,0.042,2,14,0,0.197,0,0,0.045,0.2670,0,2.594,0.337,0,0,0.245,12.000,0.000,0.000,0.000
162.0,11.925,0.007,-4.957,0.043,0.012,2,14,0,0.160,0,0,0.055,0.2492,0,12.055,3.021,-5.303,-0.303,0.069,2,14,0,0.178,0,0,0.141,0.2490,0,11.826,-3.050,-5.346,-0.346,0.043,2,14,0,0.179,0,0,0.108,0.2537,0,15.133,-0.119,-4.701,0.299,0.061,2,14,0,0.173,0,0,0.063,0.2618,0,9.151,0.060,-4.778,0.222,0.101,2,14,0,0.154,0,0,0.118,0.2643,0,15.021,3.139,-5.648,-0.648,0.051,2,14,0,0.178,0,0,0.084,0.2918,0,9.265,3.018,-5.150,-0.150,0.044,2,14,0,0.157,0,0,0.180,0.2328,0,15.023,-3.147,-5.018,-0.018,0.016,2,14,0,0.214,0,0,0.056,0.2629,0,9.078,-3.115,-6.378,-1.378,0.047,2,14,0,0.218,0,0,0.086,0.2670,0,2.780,0.265,0,0,0.218,12.000,0.000,0.000,0.000
163.0,12.010,0.034,-4.977,0.023,0.033,2,14,0,0.178,0,0,0.035,0.2492,0,12.019,3.066,-5.299,-0.299,0.066,2,14,0,0.179,0,0,0.106,0.2490,0,11.879,-3.122,-5.406,-0.406,0.065,2,14,0,0.180,0,0,0.059,0.2537,0,15.178,-0.113,-4.769,0.231,0.020,2,14,0,0.174,0,0,0.093,0.2618,0,9.125,0.110,-4.730,0.270,0.059,2,14,0,0.219,0,0,0.095,0.2643,0,15.035,3.105,-5.685,-0.685,0.037,2,14,0,0.195,0,0,0.106,0.2918,0,9.236,3.046,-5.121,-0.121,0.056,2,14,0,0.205,0,0,0.145,0.2328,0,15.041,-3.123,-5.079,-0.079,0.035,2,14,0,0.153,0,0,0.033,0.2629,0,9.018,-3.121,-6.372,-1.372,0.029,2,14,0,0.185,0,0,0.138,0.2670,0,2.788,0.241,0,0,0.219,12.000,0.000,0.000,0.000
164.0,12.091,0.007,-4.993,0.007,0.016,2,14,0,0.156,0,0,0.110,0.2492,0,11.968,3.168,-5.306,-0.306,0.071,2,14,0,0.292,0,0,0.135,0.2490,0,11.939,-3.135,-5.336,-0.336,0.044,2,14,0,0.182,0,0,0.049,0.2537,0,15.170,-0.138,-4.737,0.263,0.028,2,14,0,0.169,0,0,0.102,0.2618,0,9.135,0.226,-4.736,0.264,0.050,2,14,0,0.182,0,0,0.090,0.2643,0,15.058,3.118,-5.697,-0.697,0.053,2,14,0,0.162,0,0,0.088,0.2918,0,9.152,3.139,-5.116,-0.116,0.087,2,14,0,0.184,0,0,0.069,0.2328,0,15.044,-3.097,-5.020,-0.020,0.026,2,14,0,0.151,0,0,0.041,0.2629,0,9.083,-3.096,-6.403,-1.403,0.075,2,14,0,0.197,0,0,0.072,0.2670,0,2.823,0.263,0,0,0.292,12.000,0.000,0.000,0.000
165.0,12.038,0.003,-4.992,0.008,0.046,2,14,0,0.224,0,0,0.060,0.2492,0,11.880,3.173,-5.286,-0.286,0.078,2,14,0,0.205,0,0,0.135,0.2490,0,11.989,-3.143,-5.417,-0.417,0.032,2,14,0,0.175,0,0,0.084,0.2537,0,15.169,-0.131,-4.702,0.298,0.058,2,14,0,0.174,0,0,0.097,0.2618,0,9.126,0.257,-4.700,0.300,0.023,2,14,0,0.182,0,0,0.118,0.2643,0,15.124,3.225,-5.635,-0.635,0.069,2,14,0,0.189,0,0,0.050,0.2918,0,9.058,3.133,-5.086,-0.086,0.067,2,14,0,0.204,0,0,0.056,0.2328,0,15.067,-3.100,-5.032,-0.032,0.027,2,14,0,0.176,0,0,0.026,0.2629,0,9.194,-2.998,-6.413,-1.413,0.087,2,14,0,0.186,0,0,0.075,0.2670,0,2.830,0.287,0,0,0.224,12.000,0.000,0.000,0.000
166.0,11.924,0.024,-5.041,-0.041,0.053,2,14,0,0.155,0,0,0.057,0.2492,0,11.843,3.158,-5.324,-0.324,0.072,2,14,0,0.182,0,0,0.135,0.2490,0,12.025,-3.143,-5.350,-0.350,0.024,2,14,0,0.174,0,0,0.113,0.2537,0,15.069,-0.064,-4.741,0.259,0.087,2,14,0,0.184,0,0,0.027,0.2618,0,9.168,0.185,-4.794,0.206,0.059,2,14,0,0.163,0,0,0.039,0.2643,0,15.245,3.320,-5.678,-0.678,0.025,2,14,0,0.183,0,0,0.205,0.2918,0,9.000,3.140,-5.083,-0.083,0.029,2,14,0,0.218,0,0,0.109,0.2328,0,15.106,-3.150,-5.032,-0.032,0.029,2,14,0,0.146,0,0,0.040,0.2629,0,9.312,-2.946,-6.348,-1.348,0.023,2,14,0,0.178,0,0,0.205,0.2670,0,2.771,0.403,0,0,0.218,12.000,0.000,0.000,0.000
167.0,11.919,0.015,-5.049,-0.049,0.012,2,14,0,0.176,0,0,0.062,0.2492,0,11.807,3.056,-5.334,-0.334,0.090,2,14,0,0.155,0,0,0.109,0.2490,0,11.947,-3.037,-5.302,-0.302,0.059,2,14,0,0.151,0,0,0.054,0.2537,0,14.961,-0.032,-4.689,0.311,0.038,2,14,0,0.150,0,0,0.142,0.2618,0,9.236,0.178,-4.768,0.232,0.050,2,14,0,0.189,0,0,0.036,0.2643,0,15.238,3.341,-5.764,-0.764,0.065,2,14,0,0.186,0,0,0.212,0.2918,0,8.977,3.093,-5.083,-0.083,0.041,2,14,0,0.149,0,0,0.124,0.2328,0,15.087,-3.136,-5.050,-0.050,0.004,2,14,0,0.158,0,0,0.017,0.2629,0,9.275,-2.968,-6.401,-1.401,0.067,2,14,0,0.164,0,0,0.161,0.2670,0,2.703,0.416,0,0,0.189,12.000,0.000,0.000,0.000
168.0,11.894,0.083,-4.988,0.012,0.017,2,14,0,0.235,0,0,0.114,0.2492,0,11.857,2.999,-5.339,-0.339,0.080,2,14,0,0.184,0,0,0.075,0.2490,0,11.991,-2.964,-5.292,-0.292,0.021,2,14,0,0.148,0,0,0.139,0.2537,0,15.009,0.020,-4.726,0.274,0.051,2,14,0,0.177,0,0,0.125,0.2618,0,9.214,0.229,-4.701,0.299,0.019,2,14,0,0.156,0,0,0.064,0.2643,0,15.134,3.307,-5.786,-0.786,0.132,2,14,0,0.190,0,0,0.121,0.2918,0,9.076,3.030,-5.152,-0.152,0.071,2,14,0,0.157,0,0,0.068,0.2328,0,15.117,-3.100,-4.991,0.009,0.008,2,14,0,0.230,0,0,0.049,0.2629,0,9.156,-3.007,-6.381,-1.381,0.108,2,14,0,0.155,0,0,0.049,0.2670,0,2.699,0.335,0,0,0.235,12.000,0.000,0.000,0.000
169.0,11.957,0.089,-4.992,0.008,0.049,2,14,0,0.195,0,0,0.083,0.2492,0,11.930,2.962,-5.233,-0.233,0.058,2,14,0,0.375,0,0,0.083,0.2490,0,12.014,-2.971,-5.296,-0.296,0.052,2,14,0,0.157,0,0,0.146,0.2537,0,15.105,0.008,-4.785,0.215,0.068,2,14,0,0.222,0,0,0.073,0.2618,0,9.235,0.189,-4.643,0.357,0.048,2,14,0,0.176,0,0,0.041,0.2643,0,14.930,3.255,-5.673,-0.673,0.134,2,14,0,0.177,0,0,0.149,0.2918,0,9.196,3.007,-5.152,-0.152,0.057,2,14,0,0.213,0,0,0.128,0.2328,0,15.145,-3.064,-4.975,0.025,0.011,2,14,0,0.152,0,0,0.093,0.2629,0,9.061,-3.059,-6.410,-1.410,0.081,2,14,0,0.188,0,0,0.074,0.2670,0,2.736,0.302,0,0,0.375,12.000,0.000,0.000,0.000
170.0,11.962,-0.025,-5.026,-0.026,0.063,2,14,0,0.183,0,0,0.040,0.2492,0,11.998,2.918,-5.264,-0.264,0.028,2,14,0,0.173,0,0,0.151,0.2490,0,11.990,-3.037,-5.320,-0.320,0.095,2,14,0,0.184,0,0,0.081,0.2537,0,15.179,-0.032,-4.748,0.252,0.062,2,14,0,0.187,0,0,0.086,0.2618,0,9.205,0.119,-4.773,0.227,0.047,2,14,0,0.217,0,0,0.047,0.2643,0,14.807,3.088,-5.686,-0.686,0.076,2,14,0,0.188,0,0,0.290,0.2918,0,9.238,3.077,-5.099,-0.099,0.036,2,14,0,0.151,0,0,0.139,0.2328,0,15.127,-3.122,-4.993,0.007,0.047,2,14,0,0.215,0,0,0.054,0.2629,0,8.999,-3.094,-6.452,-1.452,0.021,2,14,0,0.148,0,0,0.143,0.2670,0,2.770,0.250,0,0,0.217,12.000,0.000,0.000,0.000
171.0,11.982,-0.078,-5.033,-0.033,0.036,2,14,0,0.158,0,0,0.089,0.2492,0,11.997,2.947,-5.280,-0.280,0.060,2,14,0,0.183,0,0,0.126,0.2490,0,11.894,-3.164,-5.317,-0.317,0.093,2,14,0,0.155,0,0,0.083,0.2537,0,15.153,-0.045,-4.700,0.300,0.039,2,14,0,0.178,0,0,0.058,0.2618,0,9.211,0.080,-4.736,0.264,0.010,2,14,0,0.188,0,0,0.087,0.2643,0,14.881,3.000,-5.669,-0.669,0.115,2,14,0,0.233,0,0,0.283,0.2918,0,9.239,3.109,-5.126,-0.126,0.057,2,14,0,0.152,0,0,0.139,0.2328,0,15.051,-3.168,-5.009,-0.009,0.050,2,14,0,0.179,0,0,0.048,0.2629,0,9.022,-3.083,-6.428,-1.428,0.047,2,14,0,0.197,0,0,0.119,0.2670,0,2.768,0.262,0,0,0.233,12.000,0.000,0.000,0.000
172.0,12.082,-0.118,-5.011,-0.011,0.028,2,14,0,0.173,0,0,0.164,0.2492,0,11.879,2.995,-5.306,-0.306,0.085,2,14,0,0.185,0,0,0.061,0.2490,0,11.891,-3.175,-5.342,-0.342,0.035,2,14,0,0.147,0,0,0.094,0.2537,0,15.105,-0.120,-4.702,0.298,0.049,2,14,0,0.187,0,0,0.056,0.2618,0,9.201,0.123,-4.759,0.241,0.035,2,14,0,0.283,0,0,0.043,0.2643,0,15.042,3.047,-5.650,-0.650,0.174,2,14,0,0.192,0,0,0.162,0.2918,0,9.081,3.132,-5.154,-0.154,0.092,2,14,0,0.174,0,0,0.042,0.2328,0,15.058,-3.183,-4.982,0.018,0.020,2,14,0,0.159,0,0,0.060,0.2629,0,9.073,-3.066,-6.398,-1.398,0.078,2,14,0,0.211,0,0,0.067,0.2670,0,2.805,0.235,0,0,0.283,12.000,0.000,0.000,0.000
173.0,12.091,-0.062,-4.994,0.006,0.074,2,14,0,0.182,0,0,0.135,0.2492,0,11.841,3.063,-5.319,-0.319,0.060,2,14,0,0.187,0,0,0.077,0.2490,0,11.781,-3.153,-5.372,-0.372,0.031,2,14,0,0.156,0,0,0.160,0.2537,0,15.133,-0.151,-4.746,0.254,0.014,2,14,0,0.179,0,0,0.093,0.2618,0,9.268,0.129,-4.739,0.261,0.031,2,14,0,0.154,0,0,0.076,0.2643,0,15.222,3.186,-5.634,-0.634,0.148,2,14,0,0.178,0,0,0.146,0.2918,0,9.051,3.132,-5.130,-0.130,0.046,2,14,0,0.160,0,0,0.063,0.2328,0,15.053,-3.145,-4.981,0.019,0.029,2,14,0,0.153,0,0,0.029,0.2629,0,9.172,-3.074,-6.351,-1.351,0.068,2,14,0,0.147,0,0,0.042,0.2670,0,2.788,0.298,0,0,0.187,12.000,0.000,0.000,0.000
