t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
14.0,-0.274,-0.029,-4.896,0.104,0.032,2,14,0,0.162,0,0,0.218,0.073,3.058,-4.465,0.535,0.052,2,14,0,0.182,0,0,0.023,-0.339,-3.202,-5.506,-0.506,0.034,2,14,0,0.152,0,0,0.134,2.839,-0.252,-5.064,-0.064,0.066,2,14,0,0.174,0,0,0.172,-3.132,0.006,-4.770,0.230,0.034,2,14,0,0.180,0,0,0.076,3.140,3.283,-4.438,0.562,0.113,2,14,0,0.187,0,0,0.104,-2.975,3.280,-5.487,-0.487,0.074,2,14,0,0.179,0,0,0.070,3.402,-2.993,-4.091,0.909,0.123,2,14,0,0.190,0,0,0.114,-3.173,-2.518,-5.468,-0.468,0.033,2,14,0,0.174,0,0,0.072,2.619,0.512,0,0,0.190,0.000,0.000,0.000,0.000
15.0,-0.186,0.081,-4.910,0.090,0.119,2,14,0,0.185,0,0,0.083,0.084,3.062,-4.497,0.503,0.035,2,14,0,0.160,0,0,0.014,-0.284,-3.187,-5.596,-0.596,0.084,2,14,0,0.240,0,0,0.078,2.950,-0.203,-5.118,-0.118,0.102,2,14,0,0.187,0,0,0.119,-3.239,-0.038,-4.928,0.072,0.026,2,14,0,0.150,0,0,0.175,3.149,3.376,-4.417,0.583,0.037,2,14,0,0.159,0,0,0.198,-2.963,3.352,-5.502,-0.502,0.055,2,14,0,0.180,0,0,0.078,3.595,-3.063,-4.086,0.914,0.125,2,14,0,0.175,0,0,0.126,-3.182,-2.513,-5.536,-0.536,0.038,2,14,0,0.150,0,0,0.073,2.549,0.599,0,0,0.240,0.000,0.000,0.000,0.000
16.0,-0.121,0.203,-4.947,0.053,0.094,2,14,0,0.151,0,0,0.081,0.088,3.045,-4.498,0.502,0.027,2,14,0,0.186,0,0,0.009,-0.180,-3.214,-5.639,-0.639,0.078,2,14,0,0.151,0,0,0.035,2.968,-0.140,-5.135,-0.135,0.082,2,14,0,0.149,0,0,0.079,-3.155,-0.031,-4.950,0.050,0.076,2,14,0,0.179,0,0,0.120,3.104,3.384,-4.489,0.511,0.070,2,14,0,0.189,0,0,0.202,-2.915,3.384,-5.547,-0.547,0.027,2,14,0,0.175,0,0,0.087,3.636,-3.091,-4.136,0.864,0.045,2,14,0,0.152,0,0,0.166,-3.282,-2.543,-5.570,-0.570,0.063,2,14,0,0.175,0,0,0.072,2.591,0.643,0,0,0.189,0.000,0.000,0.000,0.000
17.0,-0.036,0.224,-5.010,-0.010,0.045,2,14,0,0.180,0,0,0.130,0.088,2.996,-4.474,0.526,0.014,2,14,0,0.222,0,0,0.056,-0.099,-3.249,-5.647,-0.647,0.030,2,14,0,0.191,0,0,0.123,3.016,-0.054,-5.182,-0.182,0.072,2,14,0,0.174,0,0,0.118,-3.089,0.060,-4.940,0.060,0.095,2,14,0,0.180,0,0,0.027,3.055,3.240,-4.464,0.536,0.122,2,14,0,0.192,0,0,0.075,-2.978,3.371,-5.602,-0.602,0.036,2,14,0,0.178,0,0,0.103,3.666,-3.115,-4.125,0.875,0.064,2,14,0,0.153,0,0,0.198,-3.298,-2.617,-5.615,-0.615,0.042,2,14,0,0.205,0,0,0.092,2.768,0.676,0,0,0.222,0.000,0.000,0.000,0.000
18.0,0.015,0.219,-5.036,-0.036,0.037,2,14,0,0.179,0,0,0.164,0.127,2.982,-4.507,0.493,0.016,2,14,0,0.162,0,0,0.077,-0.152,-3.230,-5.641,-0.641,0.044,2,14,0,0.182,0,0,0.069,3.024,-0.036,-5.179,-0.179,0.055,2,14,0,0.149,0,0,0.134,-3.050,0.104,-4.974,0.026,0.059,2,14,0,0.185,0,0,0.063,2.993,3.085,-4.486,0.514,0.093,2,14,0,0.239,0,0,0.145,-2.931,3.302,-5.587,-0.587,0.067,2,14,0,0.171,0,0,0.025,3.595,-3.144,-4.115,0.885,0.103,2,14,0,0.927,0,0,0.138,-3.204,-2.662,-5.553,-0.553,0.047,2,14,0,0.213,0,0,0.086,2.815,0.612,0,0,0.927,0.000,0.000,0.000,0.000
19.0,0.025,0.128,-5.066,-0.066,0.098,2,14,0,0.183,0,0,0.142,0.144,3.014,-4.490,0.510,0.041,2,14,0,0.161,0,0,0.063,-0.188,-3.180,-5.545,-0.545,0.048,2,14,0,0.183,0,0,0.019,2.886,-0.054,-5.192,-0.192,0.086,2,14,0,0.177,0,0,0.044,-3.034,0.170,-4.944,0.056,0.021,2,14,0,0.185,0,0,0.117,3.053,3.067,-4.536,0.464,0.045,2,14,0,0.226,0,0,0.128,-2.906,3.311,-5.575,-0.575,0.040,2,14,0,0.251,0,0,0.014,3.460,-3.141,-4.097,0.903,0.121,2,14,0,0.176,0,0,0.059,-3.196,-2.592,-5.527,-0.527,0.037,2,14,0,0.178,0,0,0.026,2.827,0.481,0,0,0.251,0.000,0.000,0.000,0.000
20.0,-0.142,0.082,-5.026,-0.026,0.111,2,14,0,0.208,0,0,0.045,0.109,3.045,-4.527,0.473,0.045,2,14,0,0.217,0,0,0.018,-0.226,-3.180,-5.550,-0.550,0.044,2,14,0,0.245,0,0,0.020,2.755,-0.071,-5.207,-0.207,0.062,2,14,0,0.154,0,0,0.151,-3.060,0.203,-5.038,-0.038,0.043,2,14,0,0.235,0,0,0.134,3.060,3.145,-4.600,0.400,0.059,2,14,0,0.190,0,0,0.057,-2.925,3.328,-5.587,-0.587,0.019,2,14,0,0.208,0,0,0.034,3.402,-3.131,-4.180,0.820,0.073,2,14,0,0.181,0,0,0.084,-3.201,-2.575,-5.610,-0.610,0.030,2,14,0,0.184,0,0,0.016,2.839,0.470,0,0,0.245,0.000,0.000,0.000,0.000
21.0,-0.181,0.071,-5.008,-0.008,0.047,2,14,0,0.154,0,0,0.082,0.087,3.064,-4.481,0.519,0.028,2,14,0,0.177,0,0,0.014,-0.290,-3.156,-5.637,-0.637,0.013,2,14,0,0.240,0,0,0.090,2.706,-0.099,-5.222,-0.222,0.033,2,14,0,0.176,0,0,0.198,-3.152,0.202,-5.007,-0.007,0.074,2,14,0,0.223,0,0,0.131,3.106,3.188,-4.604,0.396,0.063,2,14,0,0.188,0,0,0.005,-2.918,3.312,-5.606,-0.606,0.035,2,14,0,0.146,0,0,0.019,3.378,-3.103,-4.153,0.847,0.035,2,14,0,0.187,0,0,0.095,-3.193,-2.565,-5.640,-0.640,0.019,2,14,0,0.160,0,0,0.026,2.838,0.476,0,0,0.240,0.000,0.000,0.000,0.000
22.0,-0.184,0.065,-4.996,0.004,0.016,2,14,0,0.152,0,0,0.088,0.121,3.035,-4.509,0.491,0.010,2,14,0,0.186,0,0,0.033,-0.257,-3.185,-5.609,-0.609,0.026,2,14,0,0.179,0,0,0.051,2.705,-0.138,-5.170,-0.170,0.090,2,14,0,0.174,0,0,0.206,-3.133,0.123,-5.055,-0.055,0.092,2,14,0,0.165,0,0,0.052,3.076,3.239,-4.594,0.406,0.040,2,14,0,0.164,0,0,0.061,-2.866,3.230,-5.615,-0.615,0.034,2,14,0,0.182,0,0,0.078,3.337,-3.054,-4.217,0.783,0.040,2,14,0,0.229,0,0,0.137,-3.205,-2.553,-5.579,-0.579,0.020,2,14,0,0.178,0,0,0.027,2.728,0.492,0,0,0.229,0.000,0.000,0.000,0.000
23.0,-0.148,0.073,-4.971,0.029,0.039,2,14,0,0.207,0,0,0.058,0.023,3.069,-4.480,0.520,0.022,2,14,0,0.159,0,0,0.072,-0.303,-3.149,-5.559,-0.559,0.036,2,14,0,0.340,0,0,0.105,2.844,-0.067,-5.141,-0.141,0.137,2,14,0,0.205,0,0,0.067,-3.135,0.064,-4.989,0.011,0.076,2,14,0,0.186,0,0,0.030,3.081,3.259,-4.573,0.427,0.024,2,14,0,0.211,0,0,0.078,-2.827,3.213,-5.627,-0.627,0.011,2,14,0,0.214,0,0,0.116,3.368,-3.025,-4.238,0.762,0.059,2,14,0,0.181,0,0,0.118,-3.176,-2.581,-5.542,-0.542,0.022,2,14,0,0.209,0,0,0.041,2.703,0.455,0,0,0.340,0.000,0.000,0.000,0.000
