t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
47.0,28.764,0.234,-5.016,-0.016,2.725,2,14,0,0.224,0,0,8.437,25.311,0.295,-4.292,0.708,2.788,2,14,0,0.223,0,0,8.225,3.529,8.767,0,0,0.224,20.000,0.000,0.000,0.000
48.0,25.821,0.200,-4.989,0.011,3.082,2,14,0,0.224,0,0,5.496,22.369,0.359,-4.274,0.726,3.091,2,14,0,0.257,0,0,5.286,3.529,5.824,0,0,0.257,20.000,0.000,0.000,0.000
49.0,22.831,0.246,-4.939,0.061,3.121,2,14,0,0.232,0,0,2.506,19.356,0.315,-4.356,0.644,3.115,2,14,0,0.230,0,0,2.273,3.525,2.842,0,0,0.232,20.000,0.000,0.000,0.000
50.0,19.848,0.201,-5.061,-0.061,3.010,2,14,0,0.254,0,0,0.502,16.291,0.199,-4.325,0.675,3.009,2,14,0,0.257,0,0,0.796,3.633,0.737,0,0,0.257,20.000,0.000,0.000,0.000
51.0,16.899,0.166,-5.020,-0.020,2.847,2,14,0,0.195,0,0,3.451,13.409,0.093,-4.299,0.701,2.834,2,14,0,0.201,0,0,3.703,3.564,3.592,0,0,0.201,20.000,0.000,0.000,0.000
52.0,14.273,0.127,-5.037,-0.037,2.617,2,14,0,0.240,0,0,6.078,10.743,0.075,-4.325,0.675,2.608,2,14,0,5.183,0,0,6.348,3.602,6.258,0,0,5.183,20.000,0.000,0.000,0.000
53.0,11.844,0.138,-4.996,0.004,2.356,2,14,0,0.202,0,0,8.506,8.298,0.117,-4.354,0.646,2.346,2,14,0,0.293,0,0,8.774,3.604,8.703,0,0,0.293,20.000,0.000,0.000,0.000
54.0,9.593,0.097,-5.008,-0.008,2.086,2,14,0,0.254,0,0,10.757,6.142,0.142,-4.373,0.627,2.051,2,14,0,0.258,0,0,10.951,3.510,10.859,0,0,0.258,20.000,0.000,0.000,0.000
55.0,7.615,0.058,-4.996,0.004,1.793,2,14,0,0.230,0,0,12.736,4.284,0.188,-4.394,0.606,1.727,2,14,0,0.272,0,0,12.810,3.388,12.718,0,0,0.272,20.000,0.000,0.000,0.000
56.0,6.000,0.095,-4.997,0.003,1.440,2,14,0,0.203,0,0,14.339,2.713,0.241,-4.410,0.590,1.377,2,14,0,0.232,0,0,14.384,3.342,14.289,0,0,0.232,20.000,0.000,0.000,0.000
57.0,4.798,0.169,-4.933,0.067,1.057,2,14,0,0.200,0,0,15.551,1.471,0.239,-4.380,0.620,1.011,2,14,0,0.233,0,0,15.620,3.373,15.530,0,0,0.233,20.000,0.000,0.000,0.000
58.0,3.941,0.282,-4.909,0.091,0.654,2,14,0,0.197,0,0,16.404,0.645,0.176,-4.348,0.652,0.612,2,14,0,0.210,0,0,16.459,3.344,16.356,0,0,0.210,20.000,0.000,0.000,0.000
59.0,3.509,0.420,-5.007,-0.007,0.233,2,14,0,0.198,0,0,16.840,0.362,0.242,-4.384,0.616,0.172,2,14,0,0.204,0,0,16.745,3.213,16.640,0,0,0.204,20.000,0.000,0.000,0.000
