t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
112.0,21.271,-0.010,-0.147,4.853,0.025,1,14,0,0.270,148,1,1.373,17.276,4.160,-1.048,3.952,0.019,1,14,0,0.706,27,1,1.095,16.922,-1.843,0.135,5.135,0.009,1,14,0,0.263,0,1,2.351,22.762,0.186,-5.795,-0.795,0.097,2,14,0,0.188,0,1,0.214,20.513,-0.276,0.446,5.446,0.011,1,14,0,0.327,0,1,3.282,22.684,2.997,-4.534,0.466,0.015,2,14,0,0.190,201,0,0.318,18.729,3.050,-0.334,4.666,0.005,1,14,0,0.234,0,1,1.607,22.746,-3.156,-4.808,0.192,0.125,2,14,0,0.197,10,0,0.405,16.966,-3.376,-0.015,4.985,0.006,1,14,0,0.335,131,1,0.105,0.998,3.524,52,517,0.706,20.000,0.000,0.000,0.000
113.0,21.255,0.008,-0.095,4.905,0.015,1,14,0,0.270,148,1,1.373,17.219,4.180,-1.009,3.991,0.011,1,14,0,0.706,27,1,1.095,16.934,-1.820,0.198,5.198,0.014,1,14,0,0.263,0,1,2.351,22.749,0.166,-5.788,-0.788,0.058,2,14,0,0.177,0,0,0.239,20.479,-0.238,0.421,5.421,0.010,1,14,0,0.327,0,1,3.282,22.706,2.983,-4.593,0.407,0.029,2,14,0,0.230,201,0,0.296,18.699,3.000,-0.360,4.640,0.026,1,14,0,0.234,0,1,1.607,22.840,-3.147,-4.895,0.105,0.130,2,14,0,0.195,10,0,0.314,16.933,-3.378,-0.106,4.894,0.010,1,14,0,0.335,131,1,0.105,0.964,3.487,53,517,0.706,20.000,0.000,0.000,0.000
114.0,21.172,-0.021,-0.052,4.948,0.032,1,14,0,0.270,148,1,1.373,17.204,4.184,-0.918,4.082,0.015,1,14,0,0.706,27,1,1.095,16.946,-1.803,0.225,5.225,0.020,1,14,0,0.263,0,1,2.351,22.815,0.221,-5.803,-0.803,0.151,2,14,0,0.194,0,0,0.161,20.492,-0.209,0.503,5.503,0.019,1,14,0,0.327,0,1,3.282,22.798,2.955,-4.653,0.347,0.040,2,14,0,0.193,201,0,0.200,18.631,2.986,-0.346,4.654,0.036,1,14,0,0.234,0,1,1.607,23.044,-3.183,-4.879,0.121,0.109,2,14,0,0.196,10,0,0.107,16.881,-3.393,-0.107,4.893,0.025,1,14,0,0.335,131,1,0.105,0.897,3.498,54,517,0.706,20.000,0.000,0.000,0.000
115.0,21.162,-0.034,-0.116,4.884,0.031,1,14,0,0.270,148,1,1.373,17.227,4.200,-0.938,4.062,0.012,1,14,0,0.706,27,1,1.095,16.986,-1.812,0.201,5.201,0.020,1,14,0,0.263,0,1,2.351,22.933,0.335,-5.812,-0.812,0.178,2,14,0,0.174,0,0,0.060,20.490,-0.196,0.527,5.527,0.018,1,14,0,0.327,0,1,3.282,22.792,3.010,-4.524,0.476,0.034,2,14,0,0.887,201,0,0.211,18.629,2.997,-0.392,4.608,0.027,1,14,0,0.234,0,1,1.607,23.103,-3.198,-4.828,0.172,0.006,2,14,0,0.193,10,0,0.046,16.821,-3.394,-0.101,4.899,0.043,1,14,0,0.335,131,1,0.105,0.944,3.496,55,517,0.887,20.000,0.000,0.000,0.000
116.0,21.208,-0.019,-0.149,4.851,0.013,1,14,0,0.270,148,1,1.373,17.230,4.136,-1.007,3.993,0.016,1,14,0,0.706,27,1,1.095,16.992,-1.810,0.220,5.220,0.022,1,14,0,0.263,0,1,2.351,23.127,0.387,-5.798,-0.798,0.141,2,14,0,0.187,0,0,0.245,20.556,-0.218,0.496,5.496,0.015,1,14,0,0.327,0,1,3.282,22.717,3.041,-4.514,0.486,0.028,2,14,0,0.159,201,0,0.293,18.684,3.012,-0.386,4.614,0.014,1,14,0,0.234,0,1,1.607,23.002,-3.202,-4.864,0.136,0.088,2,14,0,0.171,10,0,0.146,16.833,-3.443,-0.092,4.908,0.033,1,14,0,0.335,131,1,0.105,0.939,3.562,56,517,0.706,20.000,0.000,0.000,0.000
117.0,21.267,0.029,-0.203,4.797,0.010,1,14,0,0.270,148,1,1.373,17.194,4.076,-1.083,3.917,0.031,1,14,0,0.706,27,1,1.095,16.959,-1.817,0.184,5.184,0.017,1,14,0,0.263,0,1,2.351,23.191,0.414,-5.755,-0.755,0.037,2,14,0,0.182,0,0,0.315,20.525,-0.231,0.489,5.489,0.006,1,14,0,0.327,0,1,3.282,22.738,3.031,-4.578,0.422,0.009,2,14,0,0.171,201,0,0.270,18.756,3.007,-0.348,4.652,0.026,1,14,0,0.234,0,1,1.607,22.976,-3.224,-4.896,0.104,0.099,2,14,0,0.167,10,0,0.173,16.869,-3.467,-0.006,4.994,0.025,1,14,0,0.335,131,1,0.105,1.047,3.532,57,517,0.706,20.000,0.000,0.000,0.000
118.0,21.276,0.018,-0.195,4.805,0.002,1,14,0,0.270,148,1,1.373,17.270,4.070,-1.098,3.902,0.036,1,14,0,0.706,27,1,1.095,16.942,-1.828,0.205,5.205,0.006,1,14,0,0.263,0,1,2.351,23.119,0.428,-5.849,-0.849,0.072,2,14,0,0.175,0,0,0.249,20.532,-0.175,0.402,5.402,0.018,1,14,0,0.327,0,1,3.282,22.718,3.078,-4.608,0.392,0.009,2,14,0,0.162,201,0,0.303,18.721,3.054,-0.351,4.649,0.010,1,14,0,0.234,0,1,1.607,22.939,-3.238,-4.850,0.150,0.103,2,14,0,0.205,10,0,0.211,16.892,-3.445,-0.080,4.920,0.013,1,14,0,0.335,131,1,0.105,0.973,3.536,58,517,0.706,20.000,0.000,0.000,0.000
119.0,21.243,-0.021,-0.236,4.764,0.017,1,14,0,0.270,148,1,1.373,17.286,4.046,-1.141,3.859,0.041,1,14,0,0.706,27,1,1.095,16.982,-1.827,0.176,5.176,0.014,1,14,0,0.263,0,1,2.351,23.012,0.442,-5.769,-0.769,0.092,2,14,0,0.187,0,0,0.154,20.517,-0.152,0.375,5.375,0.025,1,14,0,0.327,0,1,3.282,22.730,3.105,-4.655,0.345,0.042,2,14,0,0.201,201,0,0.305,18.714,3.030,-0.322,4.678,0.005,1,14,0,0.234,0,1,1.607,22.815,-3.150,-4.808,0.192,0.112,2,14,0,0.196,10,0,0.338,16.873,-3.453,-0.217,4.783,0.013,1,14,0,0.335,131,1,0.105,0.957,3.521,59,517,0.706,20.000,0.000,0.000,0.000
120.0,21.223,-0.008,-0.279,4.721,0.017,1,14,0,0.270,148,1,1.373,17.202,4.072,-1.123,3.877,0.024,1,14,0,0.706,27,1,1.095,16.928,-1.816,0.184,5.184,0.014,1,14,0,0.263,0,1,2.351,22.941,0.398,-5.743,-0.743,0.081,2,14,0,0.165,0,0,0.072,20.538,-0.135,0.372,5.372,0.026,1,14,0,0.327,0,1,3.282,22.743,3.077,-4.674,0.326,0.061,2,14,0,0.169,201,0,0.280,18.737,3.025,-0.329,4.671,0.007,1,14,0,0.234,0,1,1.607,22.726,-3.101,-4.835,0.165,0.053,2,14,0,0.195,10,0,0.435,16.869,-3.433,-0.199,4.801,0.005,1,14,0,0.335,131,1,0.105,0.954,3.540,60,517,0.706,20.000,0.000,0.000,0.000
121.0,21.303,0.029,-0.217,4.783,0.017,1,14,0,0.270,148,1,1.373,17.285,4.074,-1.023,3.977,0.027,1,14,0,0.706,27,1,1.095,16.932,-1.836,0.149,5.149,0.009,1,14,0,0.263,0,1,2.351,22.919,0.362,-5.790,-0.790,0.026,2,14,0,0.155,0,1,0.039,20.559,-0.112,0.337,5.337,0.025,1,14,0,0.327,0,1,3.282,22.804,3.056,-4.610,0.390,0.060,2,14,0,0.188,201,0,0.219,18.734,3.026,-0.331,4.669,0.006,1,14,0,0.234,0,1,1.607,22.611,-3.076,-4.835,0.165,0.033,2,14,0,0.165,10,0,0.553,16.880,-3.383,-0.194,4.806,0.017,1,14,0,0.335,131,1,0.105,0.938,3.561,61,517,0.706,20.000,0.000,0.000,0.000
